DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.130	no read
DNA-25171-CG001Qv42Run249-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:58398 0.04213
DNA-25235-CG001Qv42Run249-4_S4.CG001v3.4.130	no read
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:68511 0.04221
DNA-25236-CG001Qv42Run249-5_S5.CG001v3.4.130	no read
DNA-25236-CG001Qv42Run249-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:60920 0.04088
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:65120 0.04014
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.130	no read
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:74212 0.04035
DNA-25239-CG001Qv42Run249-8_S8.CG001v3.4.130	no read
DNA-25239-CG001Qv42Run249-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:95172 0.04258
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.130	no read
DNA-25240-CG001Qv42Run249-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:69865 0.04183
DNA-25241-CG001Qv42Run249-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:84357 0.04204
DNA-25242-CG001Qv42Run249-11_S11.CG001v3.4.130	no read
DNA-25242-CG001Qv42Run249-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:69993 0.04158
DNA-25243-CG001Qv42Run249-12_S12.CG001v3.4.130	no read
DNA-25243-CG001Qv42Run249-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:82799 0.04224
DNA-25244-CG001Qv42Run249-13_S13.CG001v3.4.130	no read
DNA-25244-CG001Qv42Run249-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:82221 0.04228
DNA-25245-CG001Qv42Run249-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:59927 0.0416
DNA-25246-CG001Qv42Run249-15_S15.CG001v3.4.130	no read
DNA-25246-CG001Qv42Run249-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:51244 0.04073
DNA-25247-CG001Qv42Run249-16_S16.CG001v3.4.130	no read
DNA-25247-CG001Qv42Run249-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:76816 0.04099
DNA-25248-CG001Qv42Run249-17_S17.CG001v3.4.130	no read
DNA-25248-CG001Qv42Run249-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:55464 0.04316
DNA-25308-CG001Qv42Run249-18_S18.CG001v3.4.130	no read
DNA-25308-CG001Qv42Run249-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:66320 0.04101
DNA-25309-CG001Qv42Run249-19_S19.CG001v3.4.130	no read
DNA-25309-CG001Qv42Run249-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:66315 0.04178
DNA-25310-CG001Qv42Run249-20_S20.CG001v3.4.130	no read
DNA-25310-CG001Qv42Run249-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:34998 0.04001
DNA-25311-CG001Qv42Run249-21_S21.CG001v3.4.130	no read
DNA-25311-CG001Qv42Run249-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:56451 0.04319
DNA-25312-CG001Qv42Run249-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:76846 0.04299
NF-CG001Qv42Run249-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run249-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:63913 0.04137
QMRS-CG001Qv42Run249-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run249-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:51763 0.04164
