DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.91	max normalized_alignments:12
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.91	max number of variants:27
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.91	average number of variants:2.48
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.94	average number of variants:1.71
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.97	max number of variants:7
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.103	max number of variants:9
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.103	average number of variants:1.54
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.105	max normalized_alignments:32
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.105	average normalized_alignments:1.201
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.105	max number of variants:47
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.105	average number of variants:11.13
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.111	max number of variants:9
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.130	max normalized_alignments:18
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.130	average normalized_alignments:18.0
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.130	max number of variants:15
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.130	average number of variants:14.33
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.7	max number of variants:8
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.11	max number of variants:6
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.11	average number of variants:1.91
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.19	average number of variants:1.53
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.21	average number of variants:1.6
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.35	average number of variants:1.52
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.40	max number of variants:6
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.44	average number of variants:1.65
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.50	average number of variants:1.63
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.51	average number of variants:1.64
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.53	average number of variants:1.66
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.55	average number of variants:1.59
DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.58	average number of variants:1.66
DNA-25635-CG001Qv42Run253-4_S4.CG001v3.4.56	max number of variants:7
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.22	average number of variants:1.52
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.25	max number of variants:6
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.81	max number of variants:6
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.102	max normalized_alignments:16
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.102	max number of variants:40
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.102	average number of variants:3.31
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.103	average number of variants:1.59
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.105	max normalized_alignments:42
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.105	average normalized_alignments:1.172
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.105	max number of variants:48
