DNA-23106-CG001Qv42Run230-5_S5.CG001v3.4.130	no read
DNA-23106-CG001Qv42Run230-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:87201 0.03864
DNA-23111-CG001Qv42Run230-6_S6.CG001v3.4.130	no read
DNA-23111-CG001Qv42Run230-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:143415 0.03922
DNA-23249-CG001Qv42Run230-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:112784 0.0374
DNA-23250-CG001Qv42Run230-8_S8.CG001v3.4.130	no read
DNA-23250-CG001Qv42Run230-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:105712 0.0367
DNA-23251-CG001Qv42Run230-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:102914 0.03784
DNA-23252-CG001Qv42Run230-10_S10.CG001v3.4.130	no read
DNA-23252-CG001Qv42Run230-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:127025 0.03748
DNA-23253-CG001Qv42Run230-11_S11.CG001v3.4.130	no read
DNA-23253-CG001Qv42Run230-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:110425 0.03711
DNA-23254-CG001Qv42Run230-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:92761 0.03685
DNA-23255-CG001Qv42Run230-13_S13.CG001v3.4.130	no read
DNA-23255-CG001Qv42Run230-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:118302 0.03745
DNA-23256-CG001Qv42Run230-14_S14.CG001v3.4.130	no read
DNA-23256-CG001Qv42Run230-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:105033 0.03851
DNA-23257-CG001Qv42Run230-15_S15.CG001v3.4.130	no read
DNA-23257-CG001Qv42Run230-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:102436 0.03736
DNA-23258-CG001Qv42Run230-16_S16.CG001v3.4.130	no read
DNA-23258-CG001Qv42Run230-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:157649 0.0378
DNA-23259-CG001Qv42Run230-17_S17.CG001v3.4.130	no read
DNA-23259-CG001Qv42Run230-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:78833 0.03531
DNA-23260-CG001Qv42Run230-18_S18.CG001v3.4.130	no read
DNA-23260-CG001Qv42Run230-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:80547 0.03633
DNA-23317-CG001Qv42Run230-19_S19.CG001v3.4.130	no read
DNA-23317-CG001Qv42Run230-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:94646 0.03854
DNA-23318-CG001Qv42Run230-20_S20.CG001v3.4.130	no read
DNA-23318-CG001Qv42Run230-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:86653 0.03904
DNA-23319-CG001Qv42Run230-21_S21.CG001v3.4.130	no read
DNA-23319-CG001Qv42Run230-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:83149 0.03635
DNA-23320-CG001Qv42Run230-22_S22.CG001v3.4.130	no read
DNA-23320-CG001Qv42Run230-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:105944 0.0374
DNA-23321-CG001Qv42Run230-23_S23.CG001v3.4.130	no read
DNA-23321-CG001Qv42Run230-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:106035 0.03606
DNA-23322-CG001Qv42Run230-24_S24.CG001v3.4.130	no read
DNA-23322-CG001Qv42Run230-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:124661 0.03598
DNA-23327-CG001Qv42Run230-4_S4.CG001v3.4.130	no read
DNA-23327-CG001Qv42Run230-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:108355 0.03958
NF-CG001Qv42Run230-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run230-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:98652 0.03775
QMRS-CG001Qv42Run230-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run230-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:80932 0.03592
