DNA-23556-CG001Qv42Run233-11_S11.CG001v3.4.130	no read
DNA-23556-CG001Qv42Run233-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:122018 0.03239
DNA-23557-CG001Qv42Run233-12_S12.CG001v3.4.130	no read
DNA-23557-CG001Qv42Run233-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:132321 0.03224
DNA-23558-CG001Qv42Run233-13_S13.CG001v3.4.130	no read
DNA-23558-CG001Qv42Run233-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:94830 0.03229
DNA-23559-CG001Qv42Run233-14_S14.CG001v3.4.130	no read
DNA-23559-CG001Qv42Run233-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:82749 0.03225
DNA-23560-CG001Qv42Run233-15_S15.CG001v3.4.130	no read
DNA-23560-CG001Qv42Run233-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:108168 0.03331
DNA-23561-CG001Qv42Run233-16_S16.CG001v3.4.130	no read
DNA-23561-CG001Qv42Run233-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:100380 0.03265
DNA-23562-CG001Qv42Run233-24_S24.CG001v3.4.130	no read
DNA-23562-CG001Qv42Run233-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:118485 0.03189
DNA-23753-CG001Qv42Run233-17_S17.CG001v3.4.130	no read
DNA-23753-CG001Qv42Run233-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:92595 0.03229
DNA-23754-CG001Qv42Run233-18_S18.CG001v3.4.130	no read
DNA-23754-CG001Qv42Run233-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:125837 0.03309
DNA-23755-CG001Qv42Run233-19_S19.CG001v3.4.130	no read
DNA-23755-CG001Qv42Run233-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:66258 0.03243
DNA-23756-CG001Qv42Run233-20_S20.CG001v3.4.130	no read
DNA-23756-CG001Qv42Run233-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:55586 0.03032
DNA-23757-CG001Qv42Run233-21_S21.CG001v3.4.130	no read
DNA-23757-CG001Qv42Run233-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:102626 0.03326
DNA-23758-CG001Qv42Run233-22_S22.CG001v3.4.130	no read
DNA-23758-CG001Qv42Run233-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:73531 0.03126
DNA-23759-CG001Qv42Run233-23_S23.CG001v3.4.130	no read
DNA-23759-CG001Qv42Run233-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:111385 0.03469
NF-CG001Qv42Run233-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run233-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:80677 0.03043
QMRS-CG001Qv42Run233-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run233-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:96039 0.03915
