DNA-23556-CG001Qv42Run234-4_S4.CG001v3.4.94	average number of variants:1.62
DNA-23556-CG001Qv42Run234-4_S4.CG001v3.4.96	max number of variants:6
DNA-23556-CG001Qv42Run234-4_S4.CG001v3.4.102	max number of variants:6
DNA-23556-CG001Qv42Run234-4_S4.CG001v3.4.105	max normalized_alignments:26
DNA-23556-CG001Qv42Run234-4_S4.CG001v3.4.105	max number of variants:42
DNA-23556-CG001Qv42Run234-4_S4.CG001v3.4.105	average number of variants:4.37
DNA-23556-CG001Qv42Run234-4_S4.CG001v3.4.130	no normalized_alignment
DNA-23556-CG001Qv42Run234-4_S4.CG001v3.4.130	no variant
DNA-23556-CG001Qv42Run234-4_S4.CG001v4.0.11	average number of variants:1.53
DNA-23556-CG001Qv42Run234-4_S4.CG001v4.0.44	average number of variants:1.59
DNA-23556-CG001Qv42Run234-4_S4.CG001v4.0.45	max number of variants:6
DNA-23556-CG001Qv42Run234-4_S4.CG001v4.0.50	average number of variants:1.58
DNA-23556-CG001Qv42Run234-4_S4.CG001v4.0.51	average number of variants:1.6
DNA-23556-CG001Qv42Run234-4_S4.CG001v4.0.53	average number of variants:2.39
DNA-23556-CG001Qv42Run234-4_S4.CG001v4.0.57	average number of variants:1.55
DNA-23556-CG001Qv42Run234-4_S4.CG001v4.0.59	average number of variants:1.73
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.94	average number of variants:1.8
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.103	average number of variants:1.59
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.105	max number of variants:42
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.105	average number of variants:3.66
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.118	average number of variants:1.65
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.130	max normalized_alignments:20
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.130	average normalized_alignments:12.185
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.130	max number of variants:19
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.130	average number of variants:14.45
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.8	max number of variants:6
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.11	average number of variants:1.96
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.20	average number of variants:1.63
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.35	max number of variants:6
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.40	max number of variants:7
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.44	average number of variants:1.65
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.50	average number of variants:1.74
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.51	average number of variants:1.67
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.53	average number of variants:1.58
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.57	average number of variants:1.65
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.59	average number of variants:1.73
DNA-23760-CG001Qv42Run234-7_S7.CG001v3.4.56	max number of variants:6
DNA-23761-CG001Qv42Run234-8_S8.CG001v3.4.43	max number of variants:8
DNA-23761-CG001Qv42Run234-8_S8.CG001v3.4.49	max number of variants:6
DNA-23761-CG001Qv42Run234-8_S8.CG001v3.4.94	average number of variants:1.72
DNA-23761-CG001Qv42Run234-8_S8.CG001v3.4.103	max number of variants:6
DNA-23761-CG001Qv42Run234-8_S8.CG001v3.4.105	max normalized_alignments:48
DNA-23761-CG001Qv42Run234-8_S8.CG001v3.4.105	average normalized_alignments:1.227
