DNA-13913-CG001Qv42Run238-24_S24.CG001v3.4.130	no read
DNA-13913-CG001Qv42Run238-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:195934 0.04474
DNA-18553-CG001Qv42Run238-21_S21.CG001v3.4.130	no read
DNA-18553-CG001Qv42Run238-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:146996 0.04481
DNA-18554-CG001Qv42Run238-22_S22.CG001v3.4.130	no read
DNA-18554-CG001Qv42Run238-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:185152 0.04599
DNA-18879-CG001Qv42Run238-23_S23.CG001v3.4.130	no read
DNA-18879-CG001Qv42Run238-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:94580 0.0444
DNA-24309-CG001Qv42Run238-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:181159 0.04828
DNA-24311-CG001Qv42Run238-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:139168 0.04766
DNA-24463-CG001Qv42Run238-6_S6.CG001v3.4.130	no read
DNA-24463-CG001Qv42Run238-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:223237 0.04854
DNA-24464-CG001Qv42Run238-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:190852 0.04611
DNA-24465-CG001Qv42Run238-8_S8.CG001v3.4.130	no read
DNA-24465-CG001Qv42Run238-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:139810 0.04556
DNA-24470-CG001Qv42Run238-9_S9.CG001v3.4.130	no read
DNA-24470-CG001Qv42Run238-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:215499 0.04641
DNA-24471-CG001Qv42Run238-10_S10.CG001v3.4.130	no read
DNA-24471-CG001Qv42Run238-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:160196 0.04586
DNA-24472-CG001Qv42Run238-11_S11.CG001v3.4.130	no read
DNA-24472-CG001Qv42Run238-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:195328 0.04616
DNA-24473-CG001Qv42Run238-12_S12.CG001v3.4.130	no read
DNA-24473-CG001Qv42Run238-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:157843 0.04528
DNA-24474-CG001Qv42Run238-13_S13.CG001v3.4.130	no read
DNA-24474-CG001Qv42Run238-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:210174 0.04637
DNA-24475-CG001Qv42Run238-14_S14.CG001v3.4.130	no read
DNA-24475-CG001Qv42Run238-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:152750 0.04672
DNA-24476-CG001Qv42Run238-15_S15.CG001v3.4.130	no read
DNA-24476-CG001Qv42Run238-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:196604 0.04599
DNA-24477-CG001Qv42Run238-16_S16.CG001v3.4.130	no read
DNA-24477-CG001Qv42Run238-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:211622 0.04626
DNA-24478-CG001Qv42Run238-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:178501 0.04445
DNA-24479-CG001Qv42Run238-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:142245 0.04509
DNA-24480-CG001Qv42Run238-20_S20.CG001v3.4.130	no read
DNA-24480-CG001Qv42Run238-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:182535 0.04769
DNA-24481-CG001Qv42Run238-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:235494 0.0471
NF-CG001Qv42Run238-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run238-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:151986 0.0466
QMRS-CG001Qv42Run238-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run238-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:148944 0.04438
