DNA-24801-CG001Qv42Run242-5_S5.CG001v3.4.130	no read in clusters
DNA-24801-CG001Qv42Run242-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24802-CG001Qv42Run242-6_S6.CG001v3.4.130	no read in clusters
DNA-24802-CG001Qv42Run242-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24803-CG001Qv42Run242-7_S7.CG001v3.4.130	no read in clusters
DNA-24803-CG001Qv42Run242-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24804-CG001Qv42Run242-8_S8.CG001v3.4.130	no read in clusters
DNA-24804-CG001Qv42Run242-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24805-CG001Qv42Run242-9_S9.CG001v3.4.130	no read in clusters
DNA-24805-CG001Qv42Run242-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24806-CG001Qv42Run242-10_S10.CG001v3.4.130	no read in clusters
DNA-24806-CG001Qv42Run242-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24807-CG001Qv42Run242-11_S11.CG001v3.4.130	no read in clusters
DNA-24807-CG001Qv42Run242-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24808-CG001Qv42Run242-12_S12.CG001v3.4.130	no read in clusters
DNA-24808-CG001Qv42Run242-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24829-CG001Qv42Run242-13_S13.CG001v3.4.130	no read in clusters
DNA-24829-CG001Qv42Run242-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24830-CG001Qv42Run242-14_S14.CG001v3.4.130	no read in clusters
DNA-24830-CG001Qv42Run242-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24832-CG001Qv42Run242-15_S15.CG001v3.4.130	no read in clusters
DNA-24832-CG001Qv42Run242-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24833-CG001Qv42Run242-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24834-CG001Qv42Run242-17_S17.CG001v3.4.130	no read in clusters
DNA-24834-CG001Qv42Run242-17_S17.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24835-CG001Qv42Run242-18_S18.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24836-CG001Qv42Run242-19_S19.CG001v3.4.130	no read in clusters
DNA-24836-CG001Qv42Run242-19_S19.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24837-CG001Qv42Run242-20_S20.CG001v3.4.130	no read in clusters
DNA-24837-CG001Qv42Run242-20_S20.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24838-CG001Qv42Run242-21_S21.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24840-CG001Qv42Run242-22_S22.CG001v3.4.130	no read in clusters
DNA-24840-CG001Qv42Run242-22_S22.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24841-CG001Qv42Run242-23_S23.CG001v3.4.130	no read in clusters
DNA-24841-CG001Qv42Run242-23_S23.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24842-CG001Qv42Run242-24_S24.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24882-CG001Qv42Run242-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv42Run242-3_S3.CG001v3.4.130	no read in clusters
NF-CG001Qv42Run242-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv42Run242-2_S2.CG001v3.4.130	no read in clusters
QMRS-CG001Qv42Run242-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
