DNA-25313-CG001Qv42Run250-4_S4.CG001v3.4.26	max number of variants:6
DNA-25313-CG001Qv42Run250-4_S4.CG001v3.4.91	max number of variants:6
DNA-25313-CG001Qv42Run250-4_S4.CG001v3.4.105	max normalized_alignments:48
DNA-25313-CG001Qv42Run250-4_S4.CG001v3.4.105	max number of variants:42
DNA-25313-CG001Qv42Run250-4_S4.CG001v3.4.105	average number of variants:8.41
DNA-25313-CG001Qv42Run250-4_S4.CG001v3.4.108	max number of variants:7
DNA-25313-CG001Qv42Run250-4_S4.CG001v3.4.122	max number of variants:6
DNA-25313-CG001Qv42Run250-4_S4.CG001v3.4.130	no normalized_alignment
DNA-25313-CG001Qv42Run250-4_S4.CG001v3.4.130	no variant
DNA-25313-CG001Qv42Run250-4_S4.CG001v4.0.34	max number of variants:7
DNA-25313-CG001Qv42Run250-4_S4.CG001v4.0.34	average number of variants:1.56
DNA-25313-CG001Qv42Run250-4_S4.CG001v4.0.35	average number of variants:1.57
DNA-25313-CG001Qv42Run250-4_S4.CG001v4.0.40	max number of variants:6
DNA-25313-CG001Qv42Run250-4_S4.CG001v4.0.44	average number of variants:1.57
DNA-25313-CG001Qv42Run250-4_S4.CG001v4.0.50	average number of variants:1.53
DNA-25313-CG001Qv42Run250-4_S4.CG001v4.0.51	average number of variants:1.51
DNA-25313-CG001Qv42Run250-4_S4.CG001v4.0.57	average number of variants:2.1
DNA-25313-CG001Qv42Run250-4_S4.CG001v4.0.58	average number of variants:1.52
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.25	max number of variants:7
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.26	max number of variants:6
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.89	max number of variants:6
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.94	average number of variants:1.57
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.105	max normalized_alignments:36
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.105	max number of variants:42
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.105	average number of variants:4.77
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.110	max normalized_alignments:36
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.110	max number of variants:22
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.110	average number of variants:3.84
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.130	max normalized_alignments:27
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.130	average normalized_alignments:13.69
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.130	max number of variants:18
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.130	average number of variants:14.45
DNA-25314-CG001Qv42Run250-5_S5.CG001v4.0.11	average number of variants:1.61
DNA-25314-CG001Qv42Run250-5_S5.CG001v4.0.34	max number of variants:8
DNA-25314-CG001Qv42Run250-5_S5.CG001v4.0.34	average number of variants:1.68
DNA-25314-CG001Qv42Run250-5_S5.CG001v4.0.37	max number of variants:7
DNA-25314-CG001Qv42Run250-5_S5.CG001v4.0.38	max number of variants:16
DNA-25314-CG001Qv42Run250-5_S5.CG001v4.0.51	average number of variants:1.61
DNA-25314-CG001Qv42Run250-5_S5.CG001v4.0.53	average number of variants:1.58
DNA-25314-CG001Qv42Run250-5_S5.CG001v3.4.56	max number of variants:7
DNA-25315-CG001Qv42Run250-6_S6.CG001v3.4.5	max number of variants:7
DNA-25315-CG001Qv42Run250-6_S6.CG001v3.4.91	max number of variants:6
