DNA-25635-CG001Qv42Run253-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:131541 0.0434
DNA-25636-CG001Qv42Run253-5_S5.CG001v3.4.130	no read
DNA-25636-CG001Qv42Run253-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:132937 0.04161
DNA-25637-CG001Qv42Run253-6_S6.CG001v3.4.130	no read
DNA-25637-CG001Qv42Run253-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:117670 0.04092
DNA-25638-CG001Qv42Run253-7_S7.CG001v3.4.130	no read
DNA-25638-CG001Qv42Run253-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:129022 0.04158
DNA-25724-CG001Qv42Run253-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:86247 0.04367
DNA-25725-CG001Qv42Run253-9_S9.CG001v3.4.130	no read
DNA-25725-CG001Qv42Run253-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:140723 0.0427
DNA-25726-CG001Qv42Run253-10_S10.CG001v3.4.130	no read
DNA-25726-CG001Qv42Run253-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:112308 0.04315
DNA-25727-CG001Qv42Run253-11_S11.CG001v3.4.130	no read
DNA-25727-CG001Qv42Run253-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:127859 0.04255
DNA-25728-CG001Qv42Run253-12_S12.CG001v3.4.130	no read
DNA-25728-CG001Qv42Run253-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:110407 0.04378
DNA-25729-CG001Qv42Run253-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:209093 0.04416
DNA-25730-CG001Qv42Run253-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:119447 0.04282
DNA-25731-CG001Qv42Run253-15_S15.CG001v3.4.130	no read
DNA-25731-CG001Qv42Run253-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:90134 0.041
DNA-25732-CG001Qv42Run253-16_S16.CG001v3.4.130	no read
DNA-25732-CG001Qv42Run253-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:118157 0.04223
DNA-25733-CG001Qv42Run253-17_S17.CG001v3.4.130	no read
DNA-25733-CG001Qv42Run253-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:176768 0.04437
DNA-25734-CG001Qv42Run253-18_S18.CG001v3.4.130	no read
DNA-25734-CG001Qv42Run253-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:113723 0.04195
DNA-25735-CG001Qv42Run253-19_S19.CG001v3.4.130	no read
DNA-25735-CG001Qv42Run253-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:144108 0.04243
DNA-25736-CG001Qv42Run253-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:67236 0.04049
DNA-25737-CG001Qv42Run253-21_S21.CG001v3.4.130	no read
DNA-25737-CG001Qv42Run253-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:154321 0.04542
DNA-25768-CG001Qv42Run253-22_S22.CG001v3.4.130	no read
DNA-25768-CG001Qv42Run253-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:165827 0.04395
DNA-25769-CG001Qv42Run253-23_S23.CG001v3.4.130	no read
DNA-25769-CG001Qv42Run253-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:165043 0.04282
DNA-25770-CG001Qv42Run253-24_S24.CG001v3.4.130	no read
DNA-25770-CG001Qv42Run253-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:141990 0.04577
NF-CG001Qv42Run253-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run253-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:115438 0.04209
QMRS-CG001Qv42Run253-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run253-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:86165 0.04298
