DNA-26235-CG001Qv42Run263-4_S4.CG001v3.4.130	no read
DNA-26235-CG001Qv42Run263-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:87214 0.04158
DNA-26236-CG001Qv42Run263-5_S5.CG001v3.4.130	no read
DNA-26236-CG001Qv42Run263-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:115422 0.04019
DNA-26237-CG001Qv42Run263-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:125735 0.04158
DNA-26242-CG001Qv42Run263-7_S7.CG001v3.4.130	no read
DNA-26242-CG001Qv42Run263-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:142843 0.04544
DNA-26247-CG001Qv42Run263-8_S8.CG001v3.4.130	no read
DNA-26247-CG001Qv42Run263-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:143638 0.04687
DNA-26248-CG001Qv42Run263-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:133651 0.04256
DNA-26249-CG001Qv42Run263-10_S10.CG001v3.4.130	no read
DNA-26249-CG001Qv42Run263-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:148762 0.04158
DNA-26288-CG001Qv42Run263-11_S11.CG001v3.4.130	no read
DNA-26288-CG001Qv42Run263-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:169487 0.04151
DNA-26289-CG001Qv42Run263-12_S12.CG001v3.4.130	no read
DNA-26289-CG001Qv42Run263-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:152138 0.04203
DNA-26290-CG001Qv42Run263-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:145057 0.04246
DNA-26291-CG001Qv42Run263-14_S14.CG001v3.4.130	no read
DNA-26291-CG001Qv42Run263-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:94801 0.0404
DNA-26292-CG001Qv42Run263-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:241137 0.04187
DNA-26293-CG001Qv42Run263-16_S16.CG001v3.4.130	no read
DNA-26293-CG001Qv42Run263-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:181697 0.05018
DNA-26294-CG001Qv42Run263-17_S17.CG001v3.4.130	no read
DNA-26294-CG001Qv42Run263-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:128549 0.04239
DNA-26295-CG001Qv42Run263-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:137945 0.043
DNA-26296-CG001Qv42Run263-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:107300 0.04248
DNA-26297-CG001Qv42Run263-20_S20.CG001v3.4.130	no read
DNA-26297-CG001Qv42Run263-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:54950 0.03992
DNA-26298-CG001Qv42Run263-21_S21.CG001v3.4.130	no read
DNA-26298-CG001Qv42Run263-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:149074 0.04169
DNA-26299-CG001Qv42Run263-22_S22.CG001v3.4.130	no read
DNA-26299-CG001Qv42Run263-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:177145 0.04262
DNA-26300-CG001Qv42Run263-23_S23.CG001v3.4.130	no read
DNA-26300-CG001Qv42Run263-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:207811 0.04182
NF-CG001Qv42Run263-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run263-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:111234 0.0431
QMRS-CG001Qv42Run263-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run263-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:108389 0.04186
