DNA-17209-CG001Qv51Next002-11_S11.CG001v5.0.127b	aligned_clusters:1111 nb/max/average normalized_alignments:1122 31 1.01
DNA-17209-CG001Qv51Next002-11_S11.CG001v5.0.127b	max/average number of variants:9 1.89
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.91	aligned_clusters:1865 nb/max/average normalized_alignments:1787 16 0.958
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.91	max/average number of variants:26 1.83
DNA-17209-CG001Qv51Next002-11_S11.CG001v4.0.11	aligned_clusters:1496 nb/max/average normalized_alignments:1717 88 1.148
DNA-17209-CG001Qv51Next002-11_S11.CG001v4.0.11	max/average number of variants:11 2.57
DNA-17209-CG001Qv51Next002-11_S11.CG001v4.0.13	max/average number of variants:6 1.28
DNA-17209-CG001Qv51Next002-11_S11.CG001v4.0.20	aligned_clusters:741 nb/max/average normalized_alignments:715 11 0.965
DNA-17209-CG001Qv51Next002-11_S11.CG001v5.0.39	max/average number of variants:5 2.42
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.26	aligned_clusters:816 nb/max/average normalized_alignments:892 35 1.093
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.26	max/average number of variants:19 4.06
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.113	max/average number of variants:6 1.28
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.109	aligned_clusters:919 nb/max/average normalized_alignments:925 20 1.007
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.109	max/average number of variants:13 1.89
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.54	aligned_clusters:726 nb/max/average normalized_alignments:754 30 1.039
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.54	max/average number of variants:12 2.32
DNA-17209-CG001Qv51Next002-11_S11.CG001v4.0.38	aligned_clusters:1178 nb/max/average normalized_alignments:1220 88 1.036
DNA-17209-CG001Qv51Next002-11_S11.CG001v4.0.38	max/average number of variants:6 1.9
DNA-17209-CG001Qv51Next002-11_S11.CG001v4.0.52	aligned_clusters:960 nb/max/average normalized_alignments:941 14 0.98
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.56	max/average number of variants:7 1.59
DNA-17209-CG001Qv51Next002-11_S11.CG001v5.0.21	aligned_clusters:2890 nb/max/average normalized_alignments:2906 46 1.006
DNA-17209-CG001Qv51Next002-11_S11.CG001v5.0.21	max/average number of variants:10 1.49
DNA-17209-CG001Qv51Next002-11_S11.CG001v5.0.22	aligned_clusters:1639 nb/max/average normalized_alignments:1627 18 0.993
DNA-17209-CG001Qv51Next002-11_S11.CG001v5.0.22	max/average number of variants:33 1.88
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.89	max/average number of variants:6 1.2
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.41	aligned_clusters:968 nb/max/average normalized_alignments:968 27 1.0
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.41	max/average number of variants:6 1.52
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.71	aligned_clusters:816 nb/max/average normalized_alignments:851 38 1.043
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.71	max/average number of variants:8 2.09
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.50	max/average number of variants:7 1.22
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.105	aligned_clusters:1409 nb/max/average normalized_alignments:1486 42 1.055
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.105	max/average number of variants:45 6.66
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.102	aligned_clusters:2003 nb/max/average normalized_alignments:2003 16 1.0
DNA-17209-CG001Qv51Next002-11_S11.CG001v3.4.102	max/average number of variants:21 1.69
