DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.118	max/average number of variants:6 1.48
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.91	max/average number of variants:9 1.38
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.11	max/average number of variants:14 1.99
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.21	max/average number of variants:4 1.69
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.39	max/average number of variants:6 2.11
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.24	aligned_clusters:1628 nb/max/average normalized_alignments:1609 21 0.988
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.24	max/average number of variants:8 1.4
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.26	aligned_clusters:1509 nb/max/average normalized_alignments:1547 21 1.025
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.26	max/average number of variants:19 2.33
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.38	max/average number of variants:6 1.34
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.56	max/average number of variants:8 1.85
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.22	max/average number of variants:8 1.35
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.89	max/average number of variants:6 1.16
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.90	aligned_clusters:802 nb/max/average normalized_alignments:796 13 0.993
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.41	aligned_clusters:999 nb/max/average normalized_alignments:994 17 0.995
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.105	max/average number of variants:10 1.4
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.102	max/average number of variants:6 1.27
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.43	max/average number of variants:9 1.29
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.51	max/average number of variants:4 1.59
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.108	max/average number of variants:6 1.34
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.5	aligned_clusters:859 nb/max/average normalized_alignments:931 69 1.084
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.5	max/average number of variants:4 1.62
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.96	max/average number of variants:6 1.23
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.5	aligned_clusters:1316 nb/max/average normalized_alignments:1659 47 1.261
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.5	max/average number of variants:9 2.09
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.122	aligned_clusters:872 nb/max/average normalized_alignments:925 49 1.061
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.122	max/average number of variants:4 1.94
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.138	aligned_clusters:931 nb/max/average normalized_alignments:912 13 0.98
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.6	max/average number of variants:9 1.43
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.8	aligned_clusters:1309 nb/max/average normalized_alignments:2033 94 1.553
