DNA-25963-CG001Qv42Run270-10_S10.CG001v3.4.8	max/average number of variants:7 1.16
DNA-25963-CG001Qv42Run270-10_S10.CG001v3.4.24	max/average number of variants:8 1.14
DNA-25963-CG001Qv42Run270-10_S10.CG001v3.4.81	max/average number of variants:6 1.31
DNA-25963-CG001Qv42Run270-10_S10.CG001v3.4.105	aligned_clusters:528 nb/max/average normalized_alignments:584 9 1.106
DNA-25963-CG001Qv42Run270-10_S10.CG001v3.4.105	max/average number of variants:41 7.32
DNA-25963-CG001Qv42Run270-10_S10.CG001v3.4.130	no normalized_alignment
DNA-25963-CG001Qv42Run270-10_S10.CG001v3.4.130	no variant
DNA-25963-CG001Qv42Run270-10_S10.CG001v4.0.11	max/average number of variants:4 1.73
DNA-25963-CG001Qv42Run270-10_S10.CG001v4.0.34	max/average number of variants:5 1.67
DNA-25963-CG001Qv42Run270-10_S10.CG001v4.0.40	max/average number of variants:6 1.24
DNA-25963-CG001Qv42Run270-10_S10.CG001v4.0.51	max/average number of variants:4 1.59
DNA-25963-CG001Qv42Run270-10_S10.CG001v4.0.53	max/average number of variants:3 1.67
DNA-25963-CG001Qv42Run270-10_S10.CG001v4.0.57	max/average number of variants:4 1.54
DNA-25963-CG001Qv42Run270-10_S10.CG001v4.0.59	max/average number of variants:3 1.56
DNA-25963-CG001Qv42Run270-10_S10.CG001v3.4.56	max/average number of variants:6 1.26
DNA-25963-CG001Qv42Run270-17_S17.CG001v3.4.9	aligned_clusters:409 nb/max/average normalized_alignments:420 12 1.027
DNA-25963-CG001Qv42Run270-17_S17.CG001v3.4.9	max/average number of variants:16 2.13
DNA-25963-CG001Qv42Run270-17_S17.CG001v3.4.43	max/average number of variants:6 1.39
DNA-25963-CG001Qv42Run270-17_S17.CG001v3.4.94	max/average number of variants:3 1.54
DNA-25963-CG001Qv42Run270-17_S17.CG001v3.4.103	max/average number of variants:5 1.54
