DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.11	max/average number of variants:4 2.02
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.21	max/average number of variants:3 1.65
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.39	max/average number of variants:5 2.4
DNA-17308-CG001Qv51Run051-16_S16.CG001v3.4.56	max/average number of variants:7 1.71
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.21	max/average number of variants:8 1.3
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.22	max/average number of variants:28 1.67
DNA-17308-CG001Qv51Run051-16_S16.CG001v3.4.89	max/average number of variants:6 1.27
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.51	max/average number of variants:11 1.73
DNA-17308-CG001Qv51Run051-16_S16.CG001v3.4.96	max/average number of variants:8 1.56
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.8	aligned_clusters:599 nb/max/average normalized_alignments:607 18 1.013
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.8	max/average number of variants:29 2.62
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.55	max/average number of variants:5 1.56
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.58	max/average number of variants:5 1.8
DNA-17308-CG001Qv51Run051-16_S16.CG001v3.4.103	max/average number of variants:4 1.55
DNA-17308-CG001Qv51Run051-16_S16.CG001v3.4.125	max/average number of variants:4 1.74
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.44	max/average number of variants:4 1.58
DNA-17308-CG001Qv51Run051-16_S16.CG001v3.4.130	no variant
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.59	max/average number of variants:9 1.84
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.50	max/average number of variants:4 1.71
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.53	max/average number of variants:3 1.64
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.57	aligned_clusters:490 nb/max/average normalized_alignments:571 4 1.165
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.57	max/average number of variants:7 3.31
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.59	max/average number of variants:4 2.03
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.35	max/average number of variants:8 1.62
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.76	max/average number of variants:7 1.36
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.79	max/average number of variants:6 1.21
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.91	no normalized_alignment
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.91	no variant
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.92	max/average number of variants:7 1.36
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.93	max/average number of variants:6 1.45
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.61	max/average number of variants:6 1.21
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.62	aligned_clusters:181 nb/max/average normalized_alignments:192 12 1.061
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.62	max/average number of variants:38 4.42
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.64	max/average number of variants:4 1.52
DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.1	max/average number of variants:4 1.51
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.7	max/average number of variants:8 1.32
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.11	max/average number of variants:6 1.93
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.21	max/average number of variants:3 1.7
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.39	max/average number of variants:5 2.47
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.56	max/average number of variants:7 2.11
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.89	max/average number of variants:6 1.23
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.43	max/average number of variants:6 1.21
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.48	max/average number of variants:9 1.26
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.51	max/average number of variants:3 1.68
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.96	max/average number of variants:5 1.57
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.122	max/average number of variants:4 1.53
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.18	max/average number of variants:3 1.6
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.55	max/average number of variants:3 1.53
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.58	max/average number of variants:4 1.79
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.103	max/average number of variants:6 1.71
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.125	max/average number of variants:4 1.83
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.40	max/average number of variants:7 1.16
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.44	max/average number of variants:3 1.71
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.94	max/average number of variants:3 1.54
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.132	max/average number of variants:6 1.19
DNA-26010-CG001Qv51Run051-12_S12.CG001v3.4.130	no variant
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.59	max/average number of variants:3 1.77
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.50	max/average number of variants:4 1.81
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.53	max/average number of variants:3 1.75
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.57	aligned_clusters:390 nb/max/average normalized_alignments:462 4 1.185
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.57	max/average number of variants:6 3.12
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.59	max/average number of variants:4 2.03
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.35	max/average number of variants:4 1.57
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.76	max/average number of variants:6 1.26
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.91	no normalized_alignment
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.91	no variant
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.92	aligned_clusters:481 nb/max/average normalized_alignments:506 18 1.052
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.92	max/average number of variants:41 4.36
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.93	max/average number of variants:9 1.47
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.64	max/average number of variants:4 1.57
DNA-26010-CG001Qv51Run051-4_S4.CG001v4.0.11	max/average number of variants:4 1.91
DNA-26010-CG001Qv51Run051-4_S4.CG001v4.0.21	max/average number of variants:4 1.71
DNA-26010-CG001Qv51Run051-4_S4.CG001v5.0.39	max/average number of variants:5 2.4
DNA-26010-CG001Qv51Run051-4_S4.CG001v3.4.56	max/average number of variants:7 1.85
DNA-26010-CG001Qv51Run051-4_S4.CG001v3.4.76	max/average number of variants:6 1.24
DNA-26010-CG001Qv51Run051-4_S4.CG001v3.4.41	max/average number of variants:16 1.32
