DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.4	max normalized_alignments:33
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.5	max number of variants:7
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.20	max number of variants:6
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.91	max number of variants:18
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.105	max normalized_alignments:36
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.105	average normalized_alignments:1.12
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.105	max number of variants:42
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.105	average number of variants:6.12
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.125	average number of variants:1.71
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.130	max normalized_alignments:20
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.130	average normalized_alignments:13.104
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.130	max number of variants:18
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.130	average number of variants:14.43
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.143	average number of variants:1.57
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.11	average number of variants:1.53
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.34	average number of variants:1.61
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.38	max number of variants:22
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.51	average number of variants:1.61
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.53	average number of variants:1.61
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.55	average number of variants:1.61
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.56	average number of variants:1.54
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.57	average number of variants:1.63
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.56	max number of variants:6
DNA-26077-CG001Qv42Run261-4_S4.CG001v3.4.62	max number of variants:6
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.43	max number of variants:8
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.81	max number of variants:6
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.89	max number of variants:6
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.105	max normalized_alignments:13
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.105	max number of variants:42
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.105	average number of variants:5.78
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.111	max number of variants:10
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.125	average number of variants:1.66
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.130	no normalized_alignment
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.130	no variant
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.7	max number of variants:6
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.11	average number of variants:1.59
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.19	average number of variants:1.56
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.21	average number of variants:1.52
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.30	max number of variants:7
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.35	max number of variants:11
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.35	average number of variants:1.55
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.40	max number of variants:7
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.44	average number of variants:1.6
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.50	average number of variants:1.74
