DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.22	max/average number of variants:4 1.64
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.25	max/average number of variants:6 1.25
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.37	max/average number of variants:7 1.24
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.94	max/average number of variants:4 1.55
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.103	max/average number of variants:8 1.42
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.105	aligned_clusters:689 nb/max/average normalized_alignments:856 34 1.242
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.105	max/average number of variants:48 12.76
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.111	aligned_clusters:592 nb/max/average normalized_alignments:605 12 1.022
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.111	max/average number of variants:32 2.07
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.130	no normalized_alignment
DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.130	no variant
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.11	max/average number of variants:10 1.7
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.19	max/average number of variants:3 1.51
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.21	max/average number of variants:3 1.64
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.35	max/average number of variants:6 1.66
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.40	max/average number of variants:7 1.2
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.44	max/average number of variants:4 1.69
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.45	max/average number of variants:7 1.27
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.50	max/average number of variants:3 1.63
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.51	max/average number of variants:4 1.63
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.53	max/average number of variants:3 1.54
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.58	max/average number of variants:3 1.69
DNA-26578-CG001Qv42Run271-8_S8.CG001v3.4.22	max/average number of variants:4 1.61
DNA-26578-CG001Qv42Run271-8_S8.CG001v3.4.94	max/average number of variants:4 1.79
