DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.11	max/average number of variants:5 1.85
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.39	max/average number of variants:5 2.37
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.56	max/average number of variants:6 1.32
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.22	max/average number of variants:6 1.31
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.105	max/average number of variants:28 1.99
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.25	max/average number of variants:16 1.27
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.27	max/average number of variants:6 1.22
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.33	max/average number of variants:7 1.18
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.51	max/average number of variants:6 1.52
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.96	max/average number of variants:6 1.46
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.5	max/average number of variants:6 1.25
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.122	max/average number of variants:6 1.38
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.138	max/average number of variants:7 1.28
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.8	max/average number of variants:7 1.32
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.55	max/average number of variants:8 1.47
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.58	max/average number of variants:5 1.62
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.54	max/average number of variants:6 1.37
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.72	aligned_clusters:336 nb/max/average normalized_alignments:357 26 1.062
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.72	max/average number of variants:19 3.64
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.103	max/average number of variants:6 1.6
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.125	max/average number of variants:4 1.63
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.40	max/average number of variants:7 1.27
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.44	max/average number of variants:3 1.53
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.57	max/average number of variants:4 1.59
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.46	max/average number of variants:8 1.25
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.18	max/average number of variants:7 1.28
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.94	max/average number of variants:6 1.41
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.132	max/average number of variants:7 1.15
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.130	no normalized_alignment
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.130	no variant
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.34	max/average number of variants:5 1.51
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.50	max/average number of variants:3 1.51
DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.53	max/average number of variants:4 1.66
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.51	max/average number of variants:6 1.27
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.57	max/average number of variants:6 2.6
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.59	max/average number of variants:5 1.81
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.73	max/average number of variants:6 1.23
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.76	max/average number of variants:8 1.46
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.101	max/average number of variants:6 1.19
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.99	max/average number of variants:7 1.19
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.91	no normalized_alignment
