DNA-26519-CG001Qv51Run064-16_S16.CG001v5.0.127b	max/average number of variants:6 1.13
DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.11	max/average number of variants:5 1.9
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.66	max/average number of variants:8 1.12
DNA-26519-CG001Qv51Run064-16_S16.CG001v5.0.39	max/average number of variants:5 2.4
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.24	max/average number of variants:7 1.23
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.113	max/average number of variants:6 1.21
DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.48	max/average number of variants:12 1.29
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.56	max/average number of variants:6 1.25
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.50	max/average number of variants:6 1.18
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.105	max/average number of variants:28 2.18
DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.30	max/average number of variants:6 1.18
DNA-26519-CG001Qv51Run064-16_S16.CG001v5.0.37	max/average number of variants:9 1.26
DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.51	max/average number of variants:5 1.56
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.110	max/average number of variants:6 1.24
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.5	max/average number of variants:8 1.27
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.15	max/average number of variants:6 1.22
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.138	max/average number of variants:7 1.21
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.103	max/average number of variants:5 1.58
DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.37	max/average number of variants:6 1.21
DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.40	max/average number of variants:7 1.21
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.18	max/average number of variants:6 1.22
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.94	max/average number of variants:5 1.59
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.132	max/average number of variants:7 1.15
DNA-26519-CG001Qv51Run064-16_S16.CG001v3.4.130	no variant
DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.34	max/average number of variants:15 1.58
