DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.94	average number of variants:1.72
DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.96	max number of variants:7
DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.102	max number of variants:34
DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.102	average number of variants:4.0
DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.103	average number of variants:1.59
DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.105	max number of variants:42
DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.105	average number of variants:4.38
DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.130	no normalized_alignment
DNA-25171-CG001Qv42Run249-23_S23.CG001v3.4.130	no variant
DNA-25171-CG001Qv42Run249-23_S23.CG001v4.0.11	average number of variants:1.95
DNA-25171-CG001Qv42Run249-23_S23.CG001v4.0.40	max number of variants:8
DNA-25171-CG001Qv42Run249-23_S23.CG001v4.0.44	average number of variants:1.63
DNA-25171-CG001Qv42Run249-23_S23.CG001v4.0.51	average number of variants:1.65
DNA-25171-CG001Qv42Run249-23_S23.CG001v4.0.53	average number of variants:2.09
DNA-25171-CG001Qv42Run249-23_S23.CG001v4.0.55	average number of variants:1.51
DNA-25171-CG001Qv42Run249-23_S23.CG001v4.0.56	average number of variants:1.62
DNA-25171-CG001Qv42Run249-23_S23.CG001v4.0.58	average number of variants:1.67
DNA-25235-CG001Qv42Run249-4_S4.CG001v3.4.103	average number of variants:1.54
DNA-25235-CG001Qv42Run249-4_S4.CG001v3.4.105	max number of variants:42
DNA-25235-CG001Qv42Run249-4_S4.CG001v3.4.105	average number of variants:3.56
DNA-25235-CG001Qv42Run249-4_S4.CG001v3.4.130	no normalized_alignment
DNA-25235-CG001Qv42Run249-4_S4.CG001v3.4.130	no variant
DNA-25235-CG001Qv42Run249-4_S4.CG001v3.4.135	average number of variants:1.51
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.11	average number of variants:1.8
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.12	max number of variants:7
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.21	average number of variants:1.59
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.34	average number of variants:1.52
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.44	average number of variants:1.69
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.50	average number of variants:1.65
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.51	average number of variants:1.75
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.53	average number of variants:1.58
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.55	average number of variants:1.68
DNA-25235-CG001Qv42Run249-4_S4.CG001v4.0.58	average number of variants:1.53
DNA-25235-CG001Qv42Run249-4_S4.CG001v3.4.56	max number of variants:6
DNA-25236-CG001Qv42Run249-5_S5.CG001v3.4.22	average number of variants:1.66
DNA-25236-CG001Qv42Run249-5_S5.CG001v3.4.91	max number of variants:7
DNA-25236-CG001Qv42Run249-5_S5.CG001v3.4.105	max normalized_alignments:26
DNA-25236-CG001Qv42Run249-5_S5.CG001v3.4.105	max number of variants:40
DNA-25236-CG001Qv42Run249-5_S5.CG001v3.4.105	average number of variants:6.16
DNA-25236-CG001Qv42Run249-5_S5.CG001v3.4.118	average number of variants:1.56
DNA-25236-CG001Qv42Run249-5_S5.CG001v3.4.130	no normalized_alignment
DNA-25236-CG001Qv42Run249-5_S5.CG001v3.4.130	no variant
DNA-25236-CG001Qv42Run249-5_S5.CG001v4.0.11	average number of variants:1.59
DNA-25236-CG001Qv42Run249-5_S5.CG001v4.0.35	average number of variants:1.74
DNA-25236-CG001Qv42Run249-5_S5.CG001v4.0.44	average number of variants:1.79
DNA-25236-CG001Qv42Run249-5_S5.CG001v4.0.50	average number of variants:1.76
DNA-25236-CG001Qv42Run249-5_S5.CG001v4.0.51	average number of variants:1.68
DNA-25236-CG001Qv42Run249-5_S5.CG001v4.0.53	average number of variants:1.67
DNA-25236-CG001Qv42Run249-5_S5.CG001v4.0.55	average number of variants:1.64
DNA-25236-CG001Qv42Run249-5_S5.CG001v4.0.57	average number of variants:1.69
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.3	max number of variants:6
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.28	max number of variants:22
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.41	max number of variants:14
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.94	average number of variants:1.52
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.96	average number of variants:1.53
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.105	max normalized_alignments:34
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.105	average normalized_alignments:1.295
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.105	max number of variants:42
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.105	average number of variants:12.54
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.125	average number of variants:1.78
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.130	max normalized_alignments:19
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.130	average normalized_alignments:11.553
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.130	max number of variants:19
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.130	average number of variants:14.44
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.8	max number of variants:7
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.11	average number of variants:1.73
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.20	average number of variants:1.71
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.21	average number of variants:1.7
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.44	average number of variants:1.53
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.45	max number of variants:7
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.51	average number of variants:1.67
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.53	max number of variants:7
DNA-25237-CG001Qv42Run249-6_S6.CG001v4.0.53	average number of variants:1.82
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.56	max number of variants:6
DNA-25237-CG001Qv42Run249-6_S6.CG001v3.4.56	average number of variants:1.52
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.7	max number of variants:8
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.22	average number of variants:1.64
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.96	average number of variants:1.55
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.105	max normalized_alignments:20
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.105	max number of variants:42
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.105	average number of variants:6.04
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.130	no normalized_alignment
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.130	no variant
DNA-25238-CG001Qv42Run249-7_S7.CG001v3.4.135	average number of variants:1.52
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.11	average number of variants:1.65
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.19	average number of variants:1.75
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.21	average number of variants:1.64
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.34	average number of variants:1.56
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.35	average number of variants:1.68
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.50	average number of variants:1.57
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.51	average number of variants:1.68
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.53	average number of variants:1.62
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.55	average number of variants:1.72
DNA-25238-CG001Qv42Run249-7_S7.CG001v4.0.58	average number of variants:1.75
DNA-25239-CG001Qv42Run249-8_S8.CG001v3.4.105	max number of variants:42
DNA-25239-CG001Qv42Run249-8_S8.CG001v3.4.105	average number of variants:2.9
DNA-25239-CG001Qv42Run249-8_S8.CG001v3.4.130	no normalized_alignment
DNA-25239-CG001Qv42Run249-8_S8.CG001v3.4.130	no variant
DNA-25239-CG001Qv42Run249-8_S8.CG001v4.0.11	average number of variants:1.54
DNA-25239-CG001Qv42Run249-8_S8.CG001v4.0.50	average number of variants:1.52
DNA-25239-CG001Qv42Run249-8_S8.CG001v4.0.51	average number of variants:1.61
DNA-25239-CG001Qv42Run249-8_S8.CG001v4.0.53	average number of variants:1.6
DNA-25239-CG001Qv42Run249-8_S8.CG001v4.0.55	average number of variants:1.59
DNA-25239-CG001Qv42Run249-8_S8.CG001v4.0.58	average number of variants:1.65
DNA-25239-CG001Qv42Run249-8_S8.CG001v3.4.56	max number of variants:7
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.22	average number of variants:1.62
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.81	max number of variants:7
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.96	average number of variants:1.57
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.102	max normalized_alignments:18
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.102	max number of variants:37
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.102	average number of variants:4.76
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.105	max number of variants:42
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.105	average number of variants:3.2
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.118	average number of variants:1.6
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.130	no normalized_alignment
DNA-25240-CG001Qv42Run249-9_S9.CG001v3.4.130	no variant
DNA-25240-CG001Qv42Run249-9_S9.CG001v4.0.11	average number of variants:1.51
DNA-25240-CG001Qv42Run249-9_S9.CG001v4.0.35	average number of variants:1.68
