DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.127b	aligned_clusters:2141 nb/max/average normalized_alignments:2060 20 0.962
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.127b	max/average number of variants:21 1.81
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.22	max/average number of variants:6 1.44
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.91	max/average number of variants:10 1.78
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.10	max/average number of variants:8 1.2
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.11	max/average number of variants:13 1.73
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.21	max/average number of variants:3 1.52
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.2	max/average number of variants:9 1.37
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.39	max/average number of variants:6 1.85
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.24	aligned_clusters:9288 nb/max/average normalized_alignments:9050 21 0.974
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.24	max/average number of variants:14 2.0
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.26	aligned_clusters:6188 nb/max/average normalized_alignments:6150 15 0.994
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.26	max/average number of variants:16 1.29
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.113	max/average number of variants:9 1.55
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.109	max/average number of variants:8 1.18
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.60	max/average number of variants:8 1.21
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.65	aligned_clusters:836 nb/max/average normalized_alignments:861 47 1.03
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.65	max/average number of variants:5 1.63
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.142	max/average number of variants:13 1.17
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.38	aligned_clusters:3577 nb/max/average normalized_alignments:3368 15 0.942
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.38	max/average number of variants:6 1.24
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.42	max/average number of variants:6 1.18
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.56	max/average number of variants:7 1.63
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.21	max/average number of variants:16 1.56
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.22	max/average number of variants:10 1.35
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.89	aligned_clusters:13487 nb/max/average normalized_alignments:12506 16 0.927
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.89	max/average number of variants:10 1.23
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.90	max/average number of variants:6 1.27
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.41	aligned_clusters:2216 nb/max/average normalized_alignments:2146 17 0.968
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.59	max/average number of variants:7 1.27
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.105	max/average number of variants:42 1.55
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.102	max/average number of variants:15 1.21
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.43	aligned_clusters:6076 nb/max/average normalized_alignments:5797 73 0.954
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.43	max/average number of variants:12 1.71
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.33	max/average number of variants:8 1.29
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.25	max/average number of variants:6 1.31
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.37	max/average number of variants:7 1.27
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.48	max/average number of variants:7 1.2
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.25	max/average number of variants:8 1.34
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.111	max/average number of variants:7 1.31
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.39	max/average number of variants:6 1.2
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.108	max/average number of variants:6 1.29
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.5	max/average number of variants:8 1.26
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.96	max/average number of variants:6 1.14
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.5	aligned_clusters:4124 nb/max/average normalized_alignments:4623 68 1.121
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.5	max/average number of variants:24 1.98
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.122	max/average number of variants:4 1.66
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.8	aligned_clusters:4178 nb/max/average normalized_alignments:4777 70 1.143
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.8	max/average number of variants:29 2.56
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.12	aligned_clusters:1169 nb/max/average normalized_alignments:1201 46 1.027
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.12	max/average number of variants:10 1.86
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.14	aligned_clusters:4212 nb/max/average normalized_alignments:4273 52 1.014
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.14	max/average number of variants:19 2.63
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.58	max/average number of variants:5 1.63
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.41	aligned_clusters:3465 nb/max/average normalized_alignments:3452 16 0.996
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.41	max/average number of variants:26 1.57
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.4	aligned_clusters:10974 nb/max/average normalized_alignments:10996 34 1.002
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.4	max/average number of variants:7 1.23
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.72	aligned_clusters:1186 nb/max/average normalized_alignments:1187 12 1.001
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.72	max/average number of variants:7 1.37
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.103	max/average number of variants:8 1.15
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.125	max/average number of variants:5 1.7
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.40	aligned_clusters:3493 nb/max/average normalized_alignments:3449 22 0.987
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.40	max/average number of variants:8 1.28
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.43	max/average number of variants:6 1.35
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.44	max/average number of variants:5 1.55
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.57	aligned_clusters:863 nb/max/average normalized_alignments:876 36 1.015
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.57	max/average number of variants:5 1.59
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.43	aligned_clusters:1172 nb/max/average normalized_alignments:1470 44 1.254
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.43	max/average number of variants:9 4.0
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.18	max/average number of variants:7 1.28
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.94	max/average number of variants:8 1.45
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.130	no variant
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.34	max/average number of variants:9 1.19
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.59	max/average number of variants:3 1.61
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.53	max/average number of variants:5 1.53
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.24	aligned_clusters:486 nb/max/average normalized_alignments:657 37 1.352
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.24	max/average number of variants:10 2.88
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.55	max/average number of variants:7 1.32
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.57	max/average number of variants:7 2.62
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.59	max/average number of variants:4 2.03
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.35	aligned_clusters:3058 nb/max/average normalized_alignments:2961 24 0.968
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.35	max/average number of variants:17 1.71
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.70	aligned_clusters:1051 nb/max/average normalized_alignments:1097 39 1.044
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.70	max/average number of variants:6 1.99
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.71	max/average number of variants:11 1.29
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.73	max/average number of variants:6 1.3
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.77	aligned_clusters:1692 nb/max/average normalized_alignments:1630 30 0.963
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.77	max/average number of variants:8 1.49
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.101	max/average number of variants:10 1.3
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.99	aligned_clusters:4686 nb/max/average normalized_alignments:4483 69 0.957
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.99	max/average number of variants:10 1.39
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.91	no normalized_alignment
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.91	no variant
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.92	aligned_clusters:3958 nb/max/average normalized_alignments:3652 57 0.923
