DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.42	max/average number of variants:9 1.25
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.43	max/average number of variants:9 1.24
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.89	max/average number of variants:6 1.25
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.90	max/average number of variants:7 1.25
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.94	max/average number of variants:4 1.7
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.96	max/average number of variants:4 1.52
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.102	max/average number of variants:24 1.49
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.103	max/average number of variants:4 1.59
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.105	aligned_clusters:441 nb/max/average normalized_alignments:540 16 1.224
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.105	max/average number of variants:45 11.65
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.118	max/average number of variants:3 1.55
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.130	no normalized_alignment
DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.130	no variant
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.11	max/average number of variants:6 1.98
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.20	max/average number of variants:3 1.54
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.21	max/average number of variants:3 1.64
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.35	aligned_clusters:404 nb/max/average normalized_alignments:430 30 1.064
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.35	max/average number of variants:29 4.11
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.40	max/average number of variants:7 1.15
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.44	max/average number of variants:6 1.72
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.51	max/average number of variants:4 1.64
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.52	max/average number of variants:7 1.22
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.58	max/average number of variants:4 1.63
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.16	max/average number of variants:7 1.29
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.20	max/average number of variants:5 1.57
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.22	max/average number of variants:5 1.58
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.28	max/average number of variants:7 1.27
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.31	max/average number of variants:6 1.27
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.97	max/average number of variants:6 1.17
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.102	max/average number of variants:8 1.29
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.103	max/average number of variants:4 1.56
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.105	aligned_clusters:883 nb/max/average normalized_alignments:1030 48 1.166
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.105	max/average number of variants:43 9.51
