DNA-22836-CG001Qv42Run226-4_S4.CG001v3.4.130	no read
DNA-22836-CG001Qv42Run226-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:77775 0.03467
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.130	no read
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:66878 0.03299
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.130	no read
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:86627 0.03209
DNA-22839-CG001Qv42Run226-7_S7.CG001v3.4.130	no read
DNA-22839-CG001Qv42Run226-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:91617 0.03291
DNA-22840-CG001Qv42Run226-8_S8.CG001v3.4.130	no read
DNA-22840-CG001Qv42Run226-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:65559 0.03533
DNA-22841-CG001Qv42Run226-9_S9.CG001v3.4.130	no read
DNA-22841-CG001Qv42Run226-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:88914 0.03413
DNA-22842-CG001Qv42Run226-10_S10.CG001v3.4.130	no read
DNA-22842-CG001Qv42Run226-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:73866 0.03423
DNA-22843-CG001Qv42Run226-11_S11.CG001v3.4.130	no read
DNA-22843-CG001Qv42Run226-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:97043 0.03412
DNA-22844-CG001Qv42Run226-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:97758 0.03488
DNA-22845-CG001Qv42Run226-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:110351 0.03544
DNA-22846-CG001Qv42Run226-14_S14.CG001v3.4.130	no read
DNA-22846-CG001Qv42Run226-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:82445 0.03413
DNA-22847-CG001Qv42Run226-15_S15.CG001v3.4.130	no read
DNA-22847-CG001Qv42Run226-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:51842 0.03236
DNA-22901-CG001Qv42Run226-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:84903 0.03368
DNA-22902-CG001Qv42Run226-17_S17.CG001v3.4.130	no read
DNA-22902-CG001Qv42Run226-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:80333 0.03469
DNA-22903-CG001Qv42Run226-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:67729 0.03336
DNA-22904-CG001Qv42Run226-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:67346 0.0332
DNA-22905-CG001Qv42Run226-20_S20.CG001v3.4.130	no read
DNA-22905-CG001Qv42Run226-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:40932 0.03181
DNA-22906-CG001Qv42Run226-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:96645 0.03488
DNA-22907-CG001Qv42Run226-23_S23.CG001v3.4.130	no read
DNA-22907-CG001Qv42Run226-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:68126 0.03435
DNA-22908-CG001Qv42Run226-24_S24.CG001v3.4.130	no read
DNA-22908-CG001Qv42Run226-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:75047 0.0363
DNA-22911-CG001Qv42Run226-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:73783 0.03731
NF-CG001Qv42Run226-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run226-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:78112 0.03362
QMRS-CG001Qv42Run226-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run226-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:65915 0.03496
