DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.15	max number of variants:7
DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.20	average number of variants:1.61
DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.25	max number of variants:6
DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.105	max number of variants:42
DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.105	average number of variants:3.03
DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.130	no normalized_alignment
DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.130	no variant
DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.135	max number of variants:7
DNA-24805-CG001Qv42Run246-5_S5.CG001v4.0.11	average number of variants:1.81
DNA-24805-CG001Qv42Run246-5_S5.CG001v4.0.29	max number of variants:8
DNA-24805-CG001Qv42Run246-5_S5.CG001v4.0.40	max number of variants:6
DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.56	max number of variants:6
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.39	max number of variants:6
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.105	max number of variants:48
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.105	average number of variants:3.54
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.113	max number of variants:10
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.130	max normalized_alignments:25
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.130	average normalized_alignments:13.561
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.130	max number of variants:18
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.130	average number of variants:14.41
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.20	average number of variants:1.54
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.40	max number of variants:6
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.44	average number of variants:1.52
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.45	max number of variants:8
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.51	average number of variants:1.63
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.53	max number of variants:8
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.53	average number of variants:1.55
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.57	average number of variants:1.57
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.58	average number of variants:1.59
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.56	max number of variants:6
DNA-24882-CG001Qv42Run246-4_S4.CG001v3.4.64	average number of variants:1.51
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.5	max number of variants:8
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.54	max number of variants:6
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.103	average number of variants:1.54
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.105	max number of variants:42
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.105	average number of variants:4.11
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.130	no normalized_alignment
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.130	no variant
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.131	max number of variants:9
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.135	max number of variants:6
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.8	max number of variants:6
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.11	max number of variants:7
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.11	average number of variants:1.84
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.21	average number of variants:1.56
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.35	max number of variants:14
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.40	max number of variants:7
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.44	average number of variants:1.55
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.45	max number of variants:6
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.51	average number of variants:1.61
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.22	average number of variants:1.58
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.91	max number of variants:7
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.96	max normalized_alignments:70
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.96	average normalized_alignments:1.223
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.96	max number of variants:26
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.96	average number of variants:9.7
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.103	max number of variants:8
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.105	max number of variants:42
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.105	average number of variants:5.86
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.130	no normalized_alignment
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.130	no variant
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.7	max number of variants:6
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.11	average number of variants:1.66
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.34	average number of variants:1.63
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.35	max number of variants:6
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.35	average number of variants:1.56
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.40	max number of variants:6
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.50	average number of variants:1.58
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.51	average number of variants:1.58
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.55	average number of variants:1.57
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.56	max number of variants:6
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.64	max number of variants:6
DNA-24983-CG001Qv42Run246-8_S8.CG001v3.4.4	max normalized_alignments:22
DNA-24983-CG001Qv42Run246-8_S8.CG001v3.4.89	max number of variants:6
DNA-24983-CG001Qv42Run246-8_S8.CG001v3.4.94	average number of variants:1.6
DNA-24983-CG001Qv42Run246-8_S8.CG001v3.4.105	max number of variants:42
DNA-24983-CG001Qv42Run246-8_S8.CG001v3.4.105	average number of variants:3.58
DNA-24983-CG001Qv42Run246-8_S8.CG001v3.4.130	no normalized_alignment
DNA-24983-CG001Qv42Run246-8_S8.CG001v3.4.130	no variant
DNA-24983-CG001Qv42Run246-8_S8.CG001v4.0.14	max number of variants:8
DNA-24983-CG001Qv42Run246-8_S8.CG001v4.0.35	max number of variants:7
DNA-24983-CG001Qv42Run246-8_S8.CG001v4.0.40	max number of variants:7
DNA-24983-CG001Qv42Run246-8_S8.CG001v4.0.45	max number of variants:7
DNA-24983-CG001Qv42Run246-8_S8.CG001v4.0.50	average number of variants:1.65
DNA-24983-CG001Qv42Run246-8_S8.CG001v4.0.51	average number of variants:1.61
