DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.25	max/average number of variants:7 1.31
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.37	max/average number of variants:6 1.34
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.43	max/average number of variants:7 1.25
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.91	aligned_clusters:575 nb/max/average normalized_alignments:595 12 1.035
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.91	max/average number of variants:27 3.58
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.94	max/average number of variants:4 1.59
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.96	max/average number of variants:7 1.52
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.102	max/average number of variants:38 2.12
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.105	aligned_clusters:987 nb/max/average normalized_alignments:1138 36 1.153
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.105	max/average number of variants:45 8.31
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.111	max/average number of variants:6 1.3
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.118	max/average number of variants:7 1.41
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.130	no normalized_alignment
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.130	no variant
DNA-26913-CG001Qv42Run273-22_S22.CG001v4.0.8	max/average number of variants:7 1.26
DNA-26913-CG001Qv42Run273-22_S22.CG001v4.0.11	max/average number of variants:6 1.6
DNA-26913-CG001Qv42Run273-22_S22.CG001v4.0.40	max/average number of variants:6 1.23
DNA-26913-CG001Qv42Run273-22_S22.CG001v4.0.44	max/average number of variants:4 1.52
DNA-26913-CG001Qv42Run273-22_S22.CG001v4.0.45	max/average number of variants:9 1.34
DNA-26913-CG001Qv42Run273-22_S22.CG001v4.0.51	max/average number of variants:5 1.57
DNA-26913-CG001Qv42Run273-22_S22.CG001v4.0.53	max/average number of variants:4 1.57
DNA-26913-CG001Qv42Run273-22_S22.CG001v4.0.57	max/average number of variants:5 2.11
DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.56	max/average number of variants:7 1.41
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.22	max/average number of variants:5 1.55
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.43	max/average number of variants:8 1.25
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.73	max/average number of variants:6 1.2
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.91	aligned_clusters:547 nb/max/average normalized_alignments:561 16 1.026
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.91	max/average number of variants:28 3.0
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.94	max/average number of variants:4 1.67
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.105	aligned_clusters:905 nb/max/average normalized_alignments:988 30 1.092
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.105	max/average number of variants:42 6.99
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.130	no normalized_alignment
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.130	no variant
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.5	max/average number of variants:7 1.19
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.8	aligned_clusters:1067 nb/max/average normalized_alignments:1070 18 1.003
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.8	max/average number of variants:29 2.28
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.11	max/average number of variants:6 1.6
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.21	max/average number of variants:4 1.56
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.27	max/average number of variants:6 1.3
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.35	max/average number of variants:4 1.6
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.40	max/average number of variants:7 1.27
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.50	max/average number of variants:3 1.64
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.51	max/average number of variants:5 1.54
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.53	max/average number of variants:4 1.64
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.55	max/average number of variants:3 1.56
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.58	max/average number of variants:5 1.54
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.56	max/average number of variants:6 1.25
DNA-26915-CG001Qv42Run273-24_S24.CG001v3.4.5	max/average number of variants:7 1.44
DNA-26915-CG001Qv42Run273-24_S24.CG001v3.4.25	max/average number of variants:6 1.23
DNA-26915-CG001Qv42Run273-24_S24.CG001v3.4.43	max/average number of variants:7 1.24
