DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.3	max number of variants:22
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.13	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.22	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.26	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.54	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.89	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.91	max number of variants:7
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.94	max number of variants:8
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.96	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.97	max number of variants:7
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.105	max normalized_alignments:14
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.105	max number of variants:43
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.105	average number of variants:3.64
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.108	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.130	max normalized_alignments:19
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.130	average normalized_alignments:14.428
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.130	max number of variants:18
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.130	average number of variants:14.42
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.11	max number of variants:8
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.11	average number of variants:1.59
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.25	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.34	max number of variants:8
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.35	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.35	average number of variants:1.58
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.38	max number of variants:6
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.40	max number of variants:7
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.45	max normalized_alignments:32
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.45	max number of variants:44
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.45	average number of variants:4.29
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.50	average number of variants:1.57
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.51	average number of variants:1.52
DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.57	average number of variants:1.99
DNA-23401-CG001Qv42Run232-4_S4.CG001v3.4.56	max number of variants:6
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.5	max number of variants:8
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.22	max number of variants:8
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.31	max number of variants:6
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.43	max number of variants:6
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.53	max number of variants:6
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.102	max number of variants:6
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.103	max number of variants:6
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.103	average number of variants:1.54
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.105	max number of variants:42
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.105	average number of variants:1.95
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.106	max number of variants:10
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.111	max number of variants:6
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.125	average number of variants:1.55
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.130	no normalized_alignment
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.130	no variant
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.143	max number of variants:8
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.7	max number of variants:6
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.8	max number of variants:9
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.11	max number of variants:9
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.11	average number of variants:1.91
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.34	average number of variants:1.65
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.35	max number of variants:10
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.35	average number of variants:1.61
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.40	max number of variants:8
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.50	average number of variants:1.52
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.51	max number of variants:6
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.51	average number of variants:1.54
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.57	average number of variants:1.97
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.56	max number of variants:6
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.5	max number of variants:6
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.89	max number of variants:6
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.91	max number of variants:6
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.94	average number of variants:1.55
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.103	max number of variants:6
