DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.3	aligned_clusters:291 nb/max/average normalized_alignments:311 22 1.069
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.3	max/average number of variants:24 4.13
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.7	max/average number of variants:6 1.31
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.26	aligned_clusters:188 nb/max/average normalized_alignments:205 20 1.09
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.26	max/average number of variants:29 5.38
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.89	max/average number of variants:6 1.25
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.91	max/average number of variants:6 1.2
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.105	aligned_clusters:984 nb/max/average normalized_alignments:1168 30 1.187
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.105	max/average number of variants:45 8.52
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.118	max/average number of variants:4 1.51
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.130	no normalized_alignment
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.130	no variant
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.7	max/average number of variants:7 1.25
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.11	max/average number of variants:4 1.71
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.51	max/average number of variants:4 1.61
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.53	max/average number of variants:3 1.66
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.58	max/average number of variants:3 1.63
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.59	max/average number of variants:3 1.61
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.60	aligned_clusters:961 nb/max/average normalized_alignments:944 12 0.982
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.60	max/average number of variants:9 1.46
DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.56	max/average number of variants:6 1.23
DNA-27053-CG001Qv42Run274-5_S5.CG001v3.4.7	max/average number of variants:6 1.24
DNA-27053-CG001Qv42Run274-5_S5.CG001v3.4.89	max/average number of variants:6 1.32
DNA-27053-CG001Qv42Run274-5_S5.CG001v3.4.103	max/average number of variants:10 1.49
DNA-27053-CG001Qv42Run274-5_S5.CG001v3.4.105	aligned_clusters:1224 nb/max/average normalized_alignments:1350 48 1.103
DNA-27053-CG001Qv42Run274-5_S5.CG001v3.4.105	max/average number of variants:48 9.87
DNA-27053-CG001Qv42Run274-5_S5.CG001v3.4.130	aligned_clusters:217 nb/max/average normalized_alignments:3041 22 14.014
DNA-27053-CG001Qv42Run274-5_S5.CG001v3.4.130	max/average number of variants:19 14.41
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.6	max/average number of variants:6 1.15
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.8	max/average number of variants:7 1.24
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.11	max/average number of variants:7 1.71
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.32	max/average number of variants:7 1.19
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.35	max/average number of variants:6 1.5
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.40	max/average number of variants:9 1.22
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.45	max/average number of variants:7 1.28
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.53	max/average number of variants:4 1.54
DNA-27053-CG001Qv42Run274-5_S5.CG001v3.4.56	max/average number of variants:7 1.64
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.18	max/average number of variants:6 1.18
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.27	max/average number of variants:7 1.18
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.51	max/average number of variants:6 1.19
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.96	max/average number of variants:7 1.42
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.103	max/average number of variants:5 1.52
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.105	aligned_clusters:866 nb/max/average normalized_alignments:936 20 1.081
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.105	max/average number of variants:45 5.82
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.113	max/average number of variants:9 1.28
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.130	aligned_clusters:154 nb/max/average normalized_alignments:2076 25 13.481
DNA-27054-CG001Qv42Run274-6_S6.CG001v3.4.130	max/average number of variants:18 14.43
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.8	max/average number of variants:6 1.22
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.11	max/average number of variants:7 1.94
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.18	max/average number of variants:3 1.57
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.40	max/average number of variants:7 1.18
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.44	max/average number of variants:3 1.56
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.50	max/average number of variants:3 1.72
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.51	max/average number of variants:6 1.62
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.53	max/average number of variants:3 1.56
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.55	max/average number of variants:5 1.6
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.58	max/average number of variants:4 1.6
DNA-27055-CG001Qv42Run274-7_S7.CG001v3.4.4	max/average number of variants:6 1.22
DNA-27055-CG001Qv42Run274-7_S7.CG001v3.4.22	max/average number of variants:5 1.52
