DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.118	max/average number of variants:6 1.48
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.91	max/average number of variants:9 1.36
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.11	max/average number of variants:14 1.99
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.21	max/average number of variants:4 1.69
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.39	max/average number of variants:6 2.11
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.24	max/average number of variants:8 1.36
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.56	max/average number of variants:8 1.85
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.22	max/average number of variants:8 1.35
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.89	max/average number of variants:6 1.16
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.105	max/average number of variants:10 1.4
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.102	max/average number of variants:6 1.27
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.43	max/average number of variants:9 1.29
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.51	max/average number of variants:4 1.59
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.108	max/average number of variants:6 1.34
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.96	max/average number of variants:6 1.23
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.122	aligned_clusters:871 nb/max/average normalized_alignments:924 49 1.061
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.122	max/average number of variants:4 1.94
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.14	aligned_clusters:839 nb/max/average normalized_alignments:826 12 0.985
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.14	max/average number of variants:25 1.89
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.55	max/average number of variants:4 1.51
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.58	max/average number of variants:5 1.8
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.74	max/average number of variants:11 1.34
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.103	max/average number of variants:8 1.19
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.125	max/average number of variants:4 1.79
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.40	max/average number of variants:6 1.32
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.41	max/average number of variants:6 1.25
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.44	max/average number of variants:6 1.68
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.62	max/average number of variants:6 1.56
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.94	max/average number of variants:4 1.61
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.132	max/average number of variants:6 1.28
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.130	no variant
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.59	max/average number of variants:3 1.74
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.50	max/average number of variants:4 1.61
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.53	max/average number of variants:4 1.69
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.57	max/average number of variants:7 2.57
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.59	max/average number of variants:4 1.95
DNA-17309-CG001Qv51Next025-10_S10.CG001v4.0.35	max/average number of variants:5 1.6
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.99	max/average number of variants:6 1.29
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.91	no normalized_alignment
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.91	no variant
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.93	max/average number of variants:9 1.45
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.103	max/average number of variants:6 1.13
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.61	max/average number of variants:8 1.25
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.62	max/average number of variants:7 1.19
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.64	max/average number of variants:4 1.7
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.91	max/average number of variants:6 1.32
DNA-17309-CG001Qv51Next025-17_S17.CG001v4.0.11	max/average number of variants:5 1.91
DNA-17309-CG001Qv51Next025-17_S17.CG001v4.0.21	max/average number of variants:4 1.67
DNA-17309-CG001Qv51Next025-17_S17.CG001v5.0.39	max/average number of variants:6 2.07
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.24	max/average number of variants:7 1.37
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.54	max/average number of variants:6 1.32
DNA-17309-CG001Qv51Next025-17_S17.CG001v4.0.48	max/average number of variants:6 1.27
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.56	max/average number of variants:7 1.75
DNA-17309-CG001Qv51Next025-17_S17.CG001v5.0.22	aligned_clusters:1115 nb/max/average normalized_alignments:1115 16 1.0
DNA-17309-CG001Qv51Next025-17_S17.CG001v5.0.22	max/average number of variants:33 2.02
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.89	max/average number of variants:7 1.15
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.105	max/average number of variants:7 1.38
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.43	aligned_clusters:1312 nb/max/average normalized_alignments:1309 43 0.998
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.43	max/average number of variants:9 1.75
