DNA-22836-CG001Qv42Run226-4_S4.CG001v3.4.8	max number of variants:6
DNA-22836-CG001Qv42Run226-4_S4.CG001v3.4.105	max number of variants:48
DNA-22836-CG001Qv42Run226-4_S4.CG001v3.4.105	average number of variants:5.4
DNA-22836-CG001Qv42Run226-4_S4.CG001v3.4.118	average number of variants:1.55
DNA-22836-CG001Qv42Run226-4_S4.CG001v3.4.130	no normalized_alignment
DNA-22836-CG001Qv42Run226-4_S4.CG001v3.4.130	no variant
DNA-22836-CG001Qv42Run226-4_S4.CG001v4.0.11	max number of variants:8
DNA-22836-CG001Qv42Run226-4_S4.CG001v4.0.11	average number of variants:1.62
DNA-22836-CG001Qv42Run226-4_S4.CG001v4.0.40	max number of variants:9
DNA-22836-CG001Qv42Run226-4_S4.CG001v4.0.44	average number of variants:1.58
DNA-22836-CG001Qv42Run226-4_S4.CG001v4.0.51	average number of variants:1.6
DNA-22836-CG001Qv42Run226-4_S4.CG001v4.0.53	average number of variants:1.58
DNA-22836-CG001Qv42Run226-4_S4.CG001v4.0.57	average number of variants:1.61
DNA-22836-CG001Qv42Run226-4_S4.CG001v4.0.58	average number of variants:1.66
DNA-22836-CG001Qv42Run226-4_S4.CG001v3.4.56	max number of variants:6
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.22	average number of variants:1.57
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.94	average number of variants:1.69
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.103	average number of variants:1.54
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.105	max normalized_alignments:12
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.105	average normalized_alignments:1.118
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.105	max number of variants:42
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.105	average number of variants:7.35
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.130	no normalized_alignment
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.130	no variant
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.7	max number of variants:7
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.11	average number of variants:1.93
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.21	average number of variants:1.57
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.35	max number of variants:7
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.35	average number of variants:1.85
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.44	average number of variants:1.57
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.50	average number of variants:1.58
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.51	average number of variants:1.69
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.53	average number of variants:1.55
DNA-22837-CG001Qv42Run226-5_S5.CG001v4.0.57	average number of variants:2.06
DNA-22837-CG001Qv42Run226-5_S5.CG001v3.4.56	max number of variants:6
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.8	max number of variants:6
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.22	average number of variants:1.57
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.91	max number of variants:7
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.103	average number of variants:1.63
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.105	max normalized_alignments:20
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.105	max number of variants:42
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.105	average number of variants:3.93
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.130	no normalized_alignment
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.130	no variant
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.11	max number of variants:6
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.11	average number of variants:1.96
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.34	max number of variants:7
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.34	average number of variants:1.65
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.35	average number of variants:1.71
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.40	max number of variants:6
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.51	average number of variants:1.71
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.57	average number of variants:1.63
DNA-22838-CG001Qv42Run226-6_S6.CG001v4.0.59	average number of variants:1.58
DNA-22838-CG001Qv42Run226-6_S6.CG001v3.4.56	max number of variants:6
DNA-22839-CG001Qv42Run226-7_S7.CG001v3.4.8	max number of variants:6
DNA-22839-CG001Qv42Run226-7_S7.CG001v3.4.28	max normalized_alignments:15
DNA-22839-CG001Qv42Run226-7_S7.CG001v3.4.28	max number of variants:24
DNA-22839-CG001Qv42Run226-7_S7.CG001v3.4.28	average number of variants:2.85
DNA-22839-CG001Qv42Run226-7_S7.CG001v3.4.103	average number of variants:1.51
DNA-22839-CG001Qv42Run226-7_S7.CG001v3.4.105	max normalized_alignments:16
DNA-22839-CG001Qv42Run226-7_S7.CG001v3.4.105	average normalized_alignments:1.114
DNA-22839-CG001Qv42Run226-7_S7.CG001v3.4.105	max number of variants:43
