DNA-25951-CG001Qv42Run256-10_S10.CG001v3.4.94	max/average number of variants:4 1.55
DNA-25951-CG001Qv42Run256-10_S10.CG001v3.4.102	max/average number of variants:32 1.6
DNA-25951-CG001Qv42Run256-10_S10.CG001v3.4.103	max/average number of variants:6 1.44
DNA-25951-CG001Qv42Run256-10_S10.CG001v3.4.105	aligned_clusters:549 nb/max/average normalized_alignments:648 12 1.18
DNA-25951-CG001Qv42Run256-10_S10.CG001v3.4.105	max/average number of variants:42 9.91
DNA-25951-CG001Qv42Run256-10_S10.CG001v3.4.130	no normalized_alignment
DNA-25951-CG001Qv42Run256-10_S10.CG001v3.4.130	no variant
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.8	max/average number of variants:6 1.2
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.11	max/average number of variants:4 1.73
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.34	max/average number of variants:4 1.56
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.40	max/average number of variants:6 1.22
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.45	max/average number of variants:9 1.22
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.51	max/average number of variants:4 1.67
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.53	max/average number of variants:4 1.62
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.57	max/average number of variants:3 1.56
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.59	max/average number of variants:4 1.54
DNA-25951-CG001Qv42Run256-10_S10.CG001v3.4.56	max/average number of variants:7 1.79
DNA-25951-CG001Qv42Run256-17_S17.CG001v3.4.91	max/average number of variants:6 1.27
DNA-25951-CG001Qv42Run256-17_S17.CG001v3.4.94	max/average number of variants:3 1.51
DNA-25951-CG001Qv42Run256-17_S17.CG001v3.4.96	max/average number of variants:6 1.4
DNA-25951-CG001Qv42Run256-17_S17.CG001v3.4.105	aligned_clusters:404 nb/max/average normalized_alignments:509 34 1.26
DNA-25951-CG001Qv42Run256-17_S17.CG001v3.4.105	max/average number of variants:35 11.68
DNA-25951-CG001Qv42Run256-17_S17.CG001v3.4.130	no normalized_alignment
DNA-25951-CG001Qv42Run256-17_S17.CG001v3.4.130	no variant
DNA-25951-CG001Qv42Run256-17_S17.CG001v4.0.11	max/average number of variants:3 1.71
DNA-25951-CG001Qv42Run256-17_S17.CG001v4.0.40	max/average number of variants:7 1.26
DNA-25951-CG001Qv42Run256-17_S17.CG001v4.0.45	max/average number of variants:6 1.29
DNA-25951-CG001Qv42Run256-17_S17.CG001v4.0.51	max/average number of variants:3 1.64
DNA-25951-CG001Qv42Run256-17_S17.CG001v4.0.53	max/average number of variants:3 1.57
DNA-25951-CG001Qv42Run256-17_S17.CG001v4.0.57	max/average number of variants:3 1.61
DNA-25951-CG001Qv42Run256-17_S17.CG001v4.0.59	max/average number of variants:3 1.55
DNA-25951-CG001Qv42Run256-17_S17.CG001v3.4.56	max/average number of variants:7 1.48
DNA-25951-CG001Qv42Run256-24_S24.CG001v3.4.25	max/average number of variants:7 1.27
DNA-25951-CG001Qv42Run256-24_S24.CG001v3.4.27	max/average number of variants:7 1.14
DNA-25951-CG001Qv42Run256-24_S24.CG001v3.4.103	max/average number of variants:7 1.44
DNA-25951-CG001Qv42Run256-24_S24.CG001v3.4.105	aligned_clusters:410 nb/max/average normalized_alignments:503 32 1.227
DNA-25951-CG001Qv42Run256-24_S24.CG001v3.4.105	max/average number of variants:42 12.44
DNA-25951-CG001Qv42Run256-24_S24.CG001v3.4.130	no normalized_alignment
DNA-25951-CG001Qv42Run256-24_S24.CG001v3.4.130	no variant
DNA-25951-CG001Qv42Run256-24_S24.CG001v4.0.11	max/average number of variants:7 1.75
DNA-25951-CG001Qv42Run256-24_S24.CG001v4.0.34	max/average number of variants:6 1.62
DNA-25951-CG001Qv42Run256-24_S24.CG001v4.0.40	max/average number of variants:9 1.26
DNA-25951-CG001Qv42Run256-24_S24.CG001v4.0.45	max/average number of variants:6 1.21
DNA-25951-CG001Qv42Run256-24_S24.CG001v4.0.51	max/average number of variants:3 1.52
DNA-25951-CG001Qv42Run256-24_S24.CG001v4.0.53	max/average number of variants:5 1.65
DNA-25951-CG001Qv42Run256-24_S24.CG001v4.0.57	max/average number of variants:3 1.53
DNA-25951-CG001Qv42Run256-24_S24.CG001v4.0.59	max/average number of variants:3 1.54
DNA-25951-CG001Qv42Run256-24_S24.CG001v3.4.56	max/average number of variants:7 1.54
DNA-25952-CG001Qv42Run256-11_S11.CG001v3.4.25	max/average number of variants:7 1.23
DNA-25952-CG001Qv42Run256-11_S11.CG001v3.4.94	max/average number of variants:3 1.57
DNA-25952-CG001Qv42Run256-11_S11.CG001v3.4.102	max/average number of variants:24 1.72
DNA-25952-CG001Qv42Run256-11_S11.CG001v3.4.105	aligned_clusters:295 nb/max/average normalized_alignments:350 8 1.186
DNA-25952-CG001Qv42Run256-11_S11.CG001v3.4.105	max/average number of variants:42 10.36
DNA-25952-CG001Qv42Run256-11_S11.CG001v3.4.130	no normalized_alignment
DNA-25952-CG001Qv42Run256-11_S11.CG001v3.4.130	no variant
DNA-25952-CG001Qv42Run256-11_S11.CG001v4.0.11	max/average number of variants:4 1.83
DNA-25952-CG001Qv42Run256-11_S11.CG001v4.0.34	max/average number of variants:3 1.52
