DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.127b	aligned_clusters:1562 nb/max/average normalized_alignments:1532 48 0.981
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.127b	max/average number of variants:24 2.63
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.91	max/average number of variants:7 1.52
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.11	max/average number of variants:8 1.86
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.21	max/average number of variants:4 1.64
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.39	max/average number of variants:5 1.94
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.7	max/average number of variants:6 1.29
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.24	max/average number of variants:10 1.65
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.26	max/average number of variants:8 1.26
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.113	max/average number of variants:6 1.25
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.38	max/average number of variants:7 1.26
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.48	max/average number of variants:6 1.24
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.20	max/average number of variants:6 1.27
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.56	max/average number of variants:8 2.17
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.21	max/average number of variants:8 1.24
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.22	aligned_clusters:1794 nb/max/average normalized_alignments:1789 12 0.997
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.22	max/average number of variants:35 2.01
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.89	max/average number of variants:6 1.17
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.59	max/average number of variants:6 1.31
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.105	aligned_clusters:2965 nb/max/average normalized_alignments:2821 20 0.951
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.105	max/average number of variants:36 1.9
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.102	max/average number of variants:10 1.24
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.77	max/average number of variants:7 1.2
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.43	max/average number of variants:12 1.38
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.32	max/average number of variants:7 1.29
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.48	max/average number of variants:15 1.26
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.51	max/average number of variants:6 1.52
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.25	max/average number of variants:7 1.31
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.111	max/average number of variants:10 1.31
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.108	max/average number of variants:8 1.34
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.5	max/average number of variants:7 1.23
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.96	max/average number of variants:7 1.19
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.122	max/average number of variants:4 1.7
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.14	max/average number of variants:6 1.27
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.8	aligned_clusters:2391 nb/max/average normalized_alignments:2387 18 0.998
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.8	max/average number of variants:29 1.71
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.14	max/average number of variants:8 1.56
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.58	max/average number of variants:5 1.81
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.41	aligned_clusters:2614 nb/max/average normalized_alignments:2608 16 0.998
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.41	max/average number of variants:26 2.03
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.13	max/average number of variants:7 1.29
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.103	max/average number of variants:6 1.17
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.125	aligned_clusters:890 nb/max/average normalized_alignments:892 25 1.002
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.125	max/average number of variants:5 1.81
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.40	max/average number of variants:6 1.28
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.44	max/average number of variants:4 1.67
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.23	max/average number of variants:8 1.21
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.18	max/average number of variants:7 1.3
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.130	no variant
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.59	max/average number of variants:6 1.58
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.50	max/average number of variants:4 1.52
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.53	max/average number of variants:4 1.57
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.57	aligned_clusters:1024 nb/max/average normalized_alignments:1134 4 1.107
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.57	max/average number of variants:7 2.92
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.59	max/average number of variants:9 2.1
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.35	max/average number of variants:6 1.58
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.73	max/average number of variants:6 1.35
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.76	max/average number of variants:6 1.29
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.77	max/average number of variants:6 1.3
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.78	max/average number of variants:7 1.29
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.99	aligned_clusters:2419 nb/max/average normalized_alignments:2362 71 0.976
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.99	max/average number of variants:7 1.63
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.91	no normalized_alignment
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.91	no variant
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.93	max/average number of variants:7 1.32
