DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.3	max/average number of variants:8 1.33
DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.7	max/average number of variants:7 1.28
DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.20	max/average number of variants:10 1.43
DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.103	max/average number of variants:7 1.2
DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.105	aligned_clusters:1020 nb/max/average normalized_alignments:1089 16 1.068
DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.105	max/average number of variants:43 5.34
DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.113	max/average number of variants:9 1.39
DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.125	max/average number of variants:4 1.53
DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.130	no normalized_alignment
DNA-27129-CG001Qv42Run275-21_S21.CG001v3.4.130	no variant
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.7	max/average number of variants:8 1.27
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.11	max/average number of variants:7 1.28
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.21	max/average number of variants:3 1.6
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.27	max/average number of variants:7 1.28
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.31	max/average number of variants:7 1.33
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.32	max/average number of variants:6 1.2
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.34	max/average number of variants:5 1.63
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.40	max/average number of variants:13 1.24
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.45	max/average number of variants:6 1.32
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.50	max/average number of variants:3 1.58
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.51	max/average number of variants:4 1.58
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.55	max/average number of variants:4 1.53
DNA-27129-CG001Qv42Run275-21_S21.CG001v4.0.58	max/average number of variants:4 1.51
DNA-27130-CG001Qv42Run275-22_S22.CG001v3.4.4	aligned_clusters:1198 nb/max/average normalized_alignments:1232 25 1.028
DNA-27130-CG001Qv42Run275-22_S22.CG001v3.4.4	max/average number of variants:30 1.99
