DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.16	max/average number of variants:6 1.23
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.91	max/average number of variants:25 1.92
DNA-24688-CG001Qv51Next028-11_S11.CG001v4.0.11	max/average number of variants:7 1.69
DNA-24688-CG001Qv51Next028-11_S11.CG001v5.0.2	max/average number of variants:6 1.5
DNA-24688-CG001Qv51Next028-11_S11.CG001v5.0.39	max/average number of variants:6 1.95
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.7	max/average number of variants:8 1.36
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.24	aligned_clusters:12708 nb/max/average normalized_alignments:12280 14 0.966
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.24	max/average number of variants:13 2.0
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.26	max/average number of variants:6 1.22
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.113	max/average number of variants:8 1.42
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.54	max/average number of variants:6 1.19
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.65	max/average number of variants:7 1.27
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.20	max/average number of variants:6 1.26
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.56	max/average number of variants:7 1.32
DNA-24688-CG001Qv51Next028-11_S11.CG001v5.0.21	max/average number of variants:15 1.41
DNA-24688-CG001Qv51Next028-11_S11.CG001v5.0.22	max/average number of variants:6 1.33
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.59	max/average number of variants:7 1.27
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.105	aligned_clusters:3341 nb/max/average normalized_alignments:3098 24 0.927
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.105	max/average number of variants:40 2.47
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.102	max/average number of variants:13 1.24
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.43	max/average number of variants:10 1.6
DNA-24688-CG001Qv51Next028-11_S11.CG001v4.0.32	max/average number of variants:6 1.21
DNA-24688-CG001Qv51Next028-11_S11.CG001v4.0.49	max/average number of variants:8 1.43
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.25	max/average number of variants:9 1.35
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.39	max/average number of variants:7 1.23
DNA-24688-CG001Qv51Next028-11_S11.CG001v4.0.5	max/average number of variants:6 1.26
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.96	max/average number of variants:10 1.16
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.5	max/average number of variants:7 1.25
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.122	max/average number of variants:4 1.58
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.15	max/average number of variants:6 1.33
DNA-24688-CG001Qv51Next028-11_S11.CG001v4.0.14	max/average number of variants:11 1.88
DNA-24688-CG001Qv51Next028-11_S11.CG001v4.0.58	aligned_clusters:2073 nb/max/average normalized_alignments:2084 72 1.005
