DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.11	max/average number of variants:7 2.08
DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.21	max/average number of variants:3 1.72
DNA-17309-CG001Qv51Run053-16_S16.CG001v5.0.39	max/average number of variants:5 2.22
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.27	max/average number of variants:6 1.21
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.24	max/average number of variants:6 1.23
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.56	max/average number of variants:7 1.68
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.105	max/average number of variants:9 1.27
DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.33	max/average number of variants:6 1.21
DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.51	max/average number of variants:3 1.69
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.111	max/average number of variants:8 1.29
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.96	max/average number of variants:4 1.63
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.122	max/average number of variants:5 1.56
DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.18	max/average number of variants:3 1.55
DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.58	max/average number of variants:3 1.8
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.103	max/average number of variants:6 1.72
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.125	max/average number of variants:4 1.77
DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.40	max/average number of variants:6 1.16
DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.44	max/average number of variants:3 1.71
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.62	max/average number of variants:4 1.52
DNA-17309-CG001Qv51Run053-16_S16.CG001v5.0.46	max/average number of variants:8 1.23
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.94	max/average number of variants:4 1.51
DNA-17309-CG001Qv51Run053-16_S16.CG001v3.4.130	no variant
DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.34	max/average number of variants:12 1.3
