DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.22	max/average number of variants:4 1.58
DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.43	max/average number of variants:6 1.26
DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.89	max/average number of variants:6 1.22
DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.94	max/average number of variants:4 1.66
DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.105	aligned_clusters:676 nb/max/average normalized_alignments:753 38 1.114
DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.105	max/average number of variants:42 7.57
DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.130	no normalized_alignment
DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.130	no variant
DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.135	max/average number of variants:7 1.59
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.8	max/average number of variants:6 1.17
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.11	max/average number of variants:5 1.61
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.20	max/average number of variants:3 1.57
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.34	max/average number of variants:4 1.56
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.35	aligned_clusters:508 nb/max/average normalized_alignments:540 36 1.063
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.35	max/average number of variants:29 3.36
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.40	max/average number of variants:7 1.19
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.48	max/average number of variants:6 1.29
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.50	max/average number of variants:3 1.73
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.51	max/average number of variants:4 1.64
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.53	max/average number of variants:4 1.64
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.59	max/average number of variants:3 1.73
DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.56	max/average number of variants:7 1.25
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.18	max/average number of variants:6 1.18
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.22	max/average number of variants:5 1.58
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.25	max/average number of variants:8 1.3
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.43	max/average number of variants:9 1.31
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.91	aligned_clusters:499 nb/max/average normalized_alignments:513 16 1.028
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.91	max/average number of variants:28 3.04
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.96	max/average number of variants:7 1.49
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.102	aligned_clusters:457 nb/max/average normalized_alignments:471 16 1.031
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.102	max/average number of variants:40 3.33
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.105	aligned_clusters:773 nb/max/average normalized_alignments:864 36 1.118
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.105	max/average number of variants:42 7.58
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.125	max/average number of variants:5 1.71
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.130	aligned_clusters:163 nb/max/average normalized_alignments:2102 24 12.896
DNA-26353-CG001Qv42Run265-4_S4.CG001v3.4.130	max/average number of variants:18 14.47
DNA-26353-CG001Qv42Run265-4_S4.CG001v4.0.8	max/average number of variants:6 1.18
DNA-26353-CG001Qv42Run265-4_S4.CG001v4.0.11	max/average number of variants:4 1.92
DNA-26353-CG001Qv42Run265-4_S4.CG001v4.0.19	max/average number of variants:3 1.51
