DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.7	max number of variants:8
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.22	max number of variants:9
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.22	average number of variants:1.54
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.48	max number of variants:6
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.49	max number of variants:8
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.105	max normalized_alignments:26
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.105	max number of variants:40
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.105	average number of variants:6.09
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.130	no normalized_alignment
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.130	no variant
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.135	average number of variants:1.53
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.8	max number of variants:10
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.21	average number of variants:1.53
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.27	max number of variants:8
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.31	max normalized_alignments:20
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.31	max number of variants:16
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.31	average number of variants:3.02
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.33	max number of variants:7
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.34	max number of variants:6
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.35	max number of variants:6
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.40	max number of variants:6
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.51	average number of variants:1.54
DNA-25304-CG001Qv42Run251-24_S24.CG001v4.0.59	average number of variants:1.58
DNA-25304-CG001Qv42Run251-24_S24.CG001v3.4.56	max number of variants:7
NF-CG001Qv42Run251-3_S3.CG001v3.4.16	max number of variants:7
NF-CG001Qv42Run251-3_S3.CG001v3.4.24	max number of variants:10
NF-CG001Qv42Run251-3_S3.CG001v3.4.25	max number of variants:9
NF-CG001Qv42Run251-3_S3.CG001v3.4.65	max number of variants:9
NF-CG001Qv42Run251-3_S3.CG001v3.4.76	max number of variants:6
NF-CG001Qv42Run251-3_S3.CG001v3.4.94	average number of variants:1.58
NF-CG001Qv42Run251-3_S3.CG001v3.4.102	max normalized_alignments:18
NF-CG001Qv42Run251-3_S3.CG001v3.4.102	max number of variants:37
NF-CG001Qv42Run251-3_S3.CG001v3.4.102	average number of variants:3.31
NF-CG001Qv42Run251-3_S3.CG001v3.4.103	average number of variants:1.52
NF-CG001Qv42Run251-3_S3.CG001v3.4.105	max normalized_alignments:26
NF-CG001Qv42Run251-3_S3.CG001v3.4.105	max number of variants:48
NF-CG001Qv42Run251-3_S3.CG001v3.4.105	average number of variants:6.57
NF-CG001Qv42Run251-3_S3.CG001v3.4.130	no normalized_alignment
NF-CG001Qv42Run251-3_S3.CG001v3.4.130	no variant
NF-CG001Qv42Run251-3_S3.CG001v4.0.7	max number of variants:12
NF-CG001Qv42Run251-3_S3.CG001v4.0.11	max number of variants:7
NF-CG001Qv42Run251-3_S3.CG001v4.0.11	average number of variants:1.86
NF-CG001Qv42Run251-3_S3.CG001v4.0.20	average number of variants:1.56
NF-CG001Qv42Run251-3_S3.CG001v4.0.34	max number of variants:10
NF-CG001Qv42Run251-3_S3.CG001v4.0.34	average number of variants:1.62
NF-CG001Qv42Run251-3_S3.CG001v4.0.35	max number of variants:8
NF-CG001Qv42Run251-3_S3.CG001v4.0.35	average number of variants:1.51
NF-CG001Qv42Run251-3_S3.CG001v4.0.40	max number of variants:6
NF-CG001Qv42Run251-3_S3.CG001v4.0.51	average number of variants:1.55
NF-CG001Qv42Run251-3_S3.CG001v4.0.53	average number of variants:1.59
NF-CG001Qv42Run251-3_S3.CG001v4.0.58	average number of variants:1.66
NF-CG001Qv42Run251-3_S3.CG001v4.0.59	average number of variants:1.62
NF-CG001Qv42Run251-3_S3.CG001v3.4.56	max number of variants:7
NF-CG001Qv42Run251-3_S3.CG001v3.4.56	average number of variants:1.66
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.8	max number of variants:6
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.49	max number of variants:7
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.102	max normalized_alignments:16
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.102	max number of variants:40
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.102	average number of variants:3.45
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.103	max number of variants:11
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.103	average number of variants:1.52
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.105	max normalized_alignments:12
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.105	max number of variants:43
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.105	average number of variants:5.17
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.110	max number of variants:8
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.122	max number of variants:7
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.130	no normalized_alignment
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.130	no variant
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.131	max number of variants:6
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.8	max normalized_alignments:18
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.8	max number of variants:29
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.8	average number of variants:2.59
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.11	average number of variants:1.71
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.34	max normalized_alignments:20
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.34	average normalized_alignments:1.111
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.34	average number of variants:1.56
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.38	max number of variants:6
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.40	max number of variants:6
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.51	average number of variants:1.51
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.53	average number of variants:1.59
QMRS-CG001Qv42Run251-2_S2.CG001v4.0.57	average number of variants:1.58
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.66	max number of variants:6
QMRS-CG001Qv42Run251-2_S2.CG001v3.4.56	max number of variants:6
