DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.127b	max/average number of variants:10 1.3
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.11	max/average number of variants:5 1.95
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.21	max/average number of variants:3 1.65
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.39	max/average number of variants:5 2.37
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.31	max/average number of variants:7 1.24
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.54	max/average number of variants:6 1.24
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.56	max/average number of variants:7 1.65
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.89	max/average number of variants:7 1.31
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.25	max/average number of variants:6 1.17
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.51	max/average number of variants:3 1.68
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.96	max/average number of variants:4 1.57
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.5	max/average number of variants:6 1.24
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.122	max/average number of variants:5 1.54
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.55	max/average number of variants:4 1.51
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.58	max/average number of variants:4 1.73
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.103	max/average number of variants:5 1.72
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.125	max/average number of variants:4 1.67
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.40	max/average number of variants:7 1.17
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.44	max/average number of variants:4 1.67
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.130	no variant
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.59	max/average number of variants:3 1.62
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.50	max/average number of variants:3 1.6
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.53	max/average number of variants:4 1.64
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.57	aligned_clusters:380 nb/max/average normalized_alignments:419 4 1.103
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.57	max/average number of variants:6 2.47
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.59	max/average number of variants:4 2.08
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.35	max/average number of variants:4 1.53
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.73	max/average number of variants:6 1.22
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.76	max/average number of variants:8 1.27
DNA-17309-CG001Qv51Run052-16_S16.CG001v3.4.99	max/average number of variants:6 1.17
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.91	no normalized_alignment
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.91	no variant
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.92	max/average number of variants:8 1.35
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.93	max/average number of variants:7 1.54
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.64	max/average number of variants:4 1.55
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.65	max/average number of variants:7 1.23
DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.1	max/average number of variants:6 1.53
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.11	max/average number of variants:4 1.95
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.21	max/average number of variants:3 1.61
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.39	max/average number of variants:4 2.16
DNA-26010-CG001Qv51Run052-12_S12.CG001v3.4.56	max/average number of variants:7 1.6
DNA-26010-CG001Qv51Run052-12_S12.CG001v3.4.89	max/average number of variants:6 1.24
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.48	max/average number of variants:6 1.2
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.51	max/average number of variants:4 1.63
DNA-26010-CG001Qv51Run052-12_S12.CG001v3.4.96	max/average number of variants:5 1.58
DNA-26010-CG001Qv51Run052-12_S12.CG001v3.4.122	max/average number of variants:6 1.48
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.18	max/average number of variants:3 1.53
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.58	max/average number of variants:4 1.73
DNA-26010-CG001Qv51Run052-12_S12.CG001v3.4.4	max/average number of variants:7 1.28
DNA-26010-CG001Qv51Run052-12_S12.CG001v3.4.103	max/average number of variants:6 1.67
DNA-26010-CG001Qv51Run052-12_S12.CG001v3.4.125	max/average number of variants:3 1.71
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.40	max/average number of variants:7 1.2
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.44	max/average number of variants:4 1.59
DNA-26010-CG001Qv51Run052-12_S12.CG001v3.4.130	no variant
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.59	max/average number of variants:3 1.64
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.50	max/average number of variants:4 1.67
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.53	max/average number of variants:3 1.73
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.57	max/average number of variants:6 2.62
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.59	max/average number of variants:4 1.97
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.76	max/average number of variants:6 1.34
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.91	no normalized_alignment
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.91	no variant
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.92	max/average number of variants:9 1.39
