DNA-24374-CG001Qv42Run240-4_S4.CG001v3.4.25	max number of variants:6
DNA-24374-CG001Qv42Run240-4_S4.CG001v3.4.103	average number of variants:1.59
DNA-24374-CG001Qv42Run240-4_S4.CG001v3.4.105	max number of variants:42
DNA-24374-CG001Qv42Run240-4_S4.CG001v3.4.105	average number of variants:4.98
DNA-24374-CG001Qv42Run240-4_S4.CG001v3.4.125	average number of variants:1.67
DNA-24374-CG001Qv42Run240-4_S4.CG001v3.4.130	max normalized_alignments:25
DNA-24374-CG001Qv42Run240-4_S4.CG001v3.4.130	average normalized_alignments:12.778
DNA-24374-CG001Qv42Run240-4_S4.CG001v3.4.130	max number of variants:19
DNA-24374-CG001Qv42Run240-4_S4.CG001v3.4.130	average number of variants:14.41
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.11	average number of variants:1.99
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.20	average number of variants:1.55
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.21	average number of variants:1.61
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.34	average number of variants:1.7
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.35	max number of variants:11
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.40	max number of variants:6
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.45	max number of variants:8
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.51	average number of variants:1.62
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.53	average number of variants:1.68
DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.59	average number of variants:1.68
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.18	max normalized_alignments:18
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.18	max number of variants:26
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.18	average number of variants:4.28
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.25	no normalized_alignment
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.25	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.39	no normalized_alignment
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.39	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.89	max number of variants:6
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.91	max normalized_alignments:12
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.91	average normalized_alignments:4.143
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.91	max number of variants:19
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.91	average number of variants:18.67
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.98	no normalized_alignment
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.98	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.102	max number of variants:6
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.103	max number of variants:7
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.105	max normalized_alignments:34
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.105	max number of variants:42
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.105	average number of variants:6.32
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.106	max number of variants:9
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.108	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.130	no normalized_alignment
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.130	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.135	max number of variants:7
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.7	no normalized_alignment
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.7	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.8	no normalized_alignment
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.8	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.11	average number of variants:1.62
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.21	no normalized_alignment
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.21	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.35	max number of variants:9
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.40	max number of variants:7
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.45	max number of variants:8
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.55	average number of variants:1.8
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.58	no normalized_alignment
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.58	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.66	no normalized_alignment
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.66	no variant
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.56	max number of variants:7
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.56	average number of variants:1.51
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.11	max normalized_alignments:63
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.11	average normalized_alignments:1.185
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.11	max number of variants:8
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.11	average number of variants:2.93
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.90	max number of variants:7
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.96	max number of variants:6
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.102	max normalized_alignments:14
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.102	max number of variants:33
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.102	average number of variants:3.25
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.103	max normalized_alignments:12
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.103	average number of variants:1.67
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.105	max number of variants:42
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.105	average number of variants:6.68
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.130	max normalized_alignments:18
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.130	average normalized_alignments:13.039
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.130	max number of variants:18
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.130	average number of variants:14.39
DNA-24464-CG001Qv42Run240-6_S6.CG001v3.4.131	max number of variants:7
DNA-24464-CG001Qv42Run240-6_S6.CG001v4.0.11	max number of variants:10
DNA-24464-CG001Qv42Run240-6_S6.CG001v4.0.11	average number of variants:1.95
DNA-24464-CG001Qv42Run240-6_S6.CG001v4.0.18	average number of variants:1.57
DNA-24464-CG001Qv42Run240-6_S6.CG001v4.0.21	average number of variants:1.54
DNA-24464-CG001Qv42Run240-6_S6.CG001v4.0.30	max number of variants:6
DNA-24464-CG001Qv42Run240-6_S6.CG001v4.0.34	average number of variants:1.65
