DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.94	max/average number of variants:5 1.73
DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.96	max/average number of variants:7 1.21
DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.102	aligned_clusters:475 nb/max/average normalized_alignments:486 12 1.023
DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.102	max/average number of variants:36 2.47
DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.105	aligned_clusters:847 nb/max/average normalized_alignments:918 20 1.084
DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.105	max/average number of variants:36 5.54
DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.125	max/average number of variants:4 1.51
DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.130	no normalized_alignment
DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.130	no variant
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.11	max/average number of variants:7 1.64
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.19	max/average number of variants:3 1.62
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.21	max/average number of variants:3 1.58
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.31	max/average number of variants:8 1.21
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.34	max/average number of variants:5 1.71
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.40	max/average number of variants:6 1.16
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.45	max/average number of variants:7 1.32
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.50	max/average number of variants:3 1.67
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.51	max/average number of variants:5 1.67
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.53	max/average number of variants:4 1.62
DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.56	max/average number of variants:6 1.42
DNA-24536-CG001Qv42Run261-24_S24.CG001v3.4.22	max/average number of variants:6 1.5
DNA-24536-CG001Qv42Run261-24_S24.CG001v3.4.75	max/average number of variants:9 1.3
DNA-24536-CG001Qv42Run261-24_S24.CG001v3.4.94	max/average number of variants:4 1.71
DNA-24536-CG001Qv42Run261-24_S24.CG001v3.4.105	max/average number of variants:40 5.31
DNA-24536-CG001Qv42Run261-24_S24.CG001v3.4.130	no normalized_alignment
DNA-24536-CG001Qv42Run261-24_S24.CG001v3.4.130	no variant
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.11	max/average number of variants:4 1.73
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.35	max/average number of variants:5 1.54
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.44	max/average number of variants:3 1.52
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.50	max/average number of variants:3 1.74
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.51	max/average number of variants:4 1.7
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.53	max/average number of variants:3 1.64
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.54	max/average number of variants:4 1.57
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.55	max/average number of variants:3 1.59
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.57	max/average number of variants:3 1.68
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.58	max/average number of variants:4 1.54
DNA-24831-CG001Qv42Run261-18_S18.CG001v3.4.22	max/average number of variants:8 1.2
DNA-24831-CG001Qv42Run261-18_S18.CG001v3.4.38	max/average number of variants:6 1.14
DNA-24831-CG001Qv42Run261-18_S18.CG001v3.4.102	max/average number of variants:34 1.41
