DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.5	max/average number of variants:7 1.43
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.26	max/average number of variants:6 1.21
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.28	max/average number of variants:6 1.23
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.91	aligned_clusters:680 nb/max/average normalized_alignments:697 12 1.025
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.91	max/average number of variants:27 3.24
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.94	max/average number of variants:3 1.57
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.103	max/average number of variants:7 1.23
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.105	max/average number of variants:29 3.7
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.106	max/average number of variants:8 1.33
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.111	max/average number of variants:8 1.21
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.125	max/average number of variants:4 1.55
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.130	no normalized_alignment
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.130	no variant
DNA-24537-CG001Qv42Run263-24_S24.CG001v4.0.11	max/average number of variants:6 1.3
DNA-24537-CG001Qv42Run263-24_S24.CG001v4.0.21	max/average number of variants:3 1.56
DNA-24537-CG001Qv42Run263-24_S24.CG001v4.0.34	max/average number of variants:6 1.63
DNA-24537-CG001Qv42Run263-24_S24.CG001v4.0.37	max/average number of variants:10 1.21
DNA-24537-CG001Qv42Run263-24_S24.CG001v4.0.40	aligned_clusters:11638 nb/max/average normalized_alignments:11511 38 0.989
DNA-24537-CG001Qv42Run263-24_S24.CG001v4.0.40	max/average number of variants:10 1.42
DNA-24537-CG001Qv42Run263-24_S24.CG001v4.0.50	max/average number of variants:2 1.54
DNA-24537-CG001Qv42Run263-24_S24.CG001v4.0.51	max/average number of variants:5 1.53
DNA-24537-CG001Qv42Run263-24_S24.CG001v4.0.59	max/average number of variants:3 1.65
DNA-24537-CG001Qv42Run263-24_S24.CG001v3.4.56	max/average number of variants:6 1.32
DNA-26235-CG001Qv42Run263-4_S4.CG001v3.4.4	max/average number of variants:7 1.19
DNA-26235-CG001Qv42Run263-4_S4.CG001v3.4.94	max/average number of variants:3 1.56
DNA-26235-CG001Qv42Run263-4_S4.CG001v3.4.105	aligned_clusters:643 nb/max/average normalized_alignments:744 40 1.157
DNA-26235-CG001Qv42Run263-4_S4.CG001v3.4.105	max/average number of variants:42 10.87
DNA-26235-CG001Qv42Run263-4_S4.CG001v3.4.130	no normalized_alignment
