DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.22	average number of variants:1.58
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.27	max number of variants:12
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.42	max number of variants:6
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.76	max number of variants:13
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.89	max number of variants:8
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.91	max normalized_alignments:23
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.91	max number of variants:28
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.91	average number of variants:4.71
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.94	max number of variants:8
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.96	max normalized_alignments:12
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.96	max number of variants:24
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.96	average number of variants:1.87
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.98	max number of variants:6
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.105	max normalized_alignments:16
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.105	average normalized_alignments:1.152
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.105	max number of variants:42
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.105	average number of variants:8.67
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.118	average number of variants:1.53
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.130	no normalized_alignment
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.130	no variant
DNA-23323-CG001Qv42Run231-4_S4.CG001v3.4.135	average number of variants:1.51
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.11	average number of variants:1.55
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.21	average number of variants:1.57
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.25	max number of variants:6
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.35	max number of variants:10
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.35	average number of variants:1.7
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.40	max number of variants:6
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.44	average number of variants:1.62
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.45	max number of variants:10
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.50	average number of variants:1.64
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.51	average number of variants:1.65
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.53	max number of variants:6
DNA-23323-CG001Qv42Run231-4_S4.CG001v4.0.53	average number of variants:1.62
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.5	max number of variants:6
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.7	max number of variants:8
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.22	average number of variants:1.61
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.41	max number of variants:8
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.43	max number of variants:12
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.65	max number of variants:11
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.91	max number of variants:6
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.102	max number of variants:33
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.102	average number of variants:2.03
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.105	max normalized_alignments:24
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.105	max number of variants:42
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.105	average number of variants:6.68
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.125	average number of variants:1.51
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.130	no normalized_alignment
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.130	no variant
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.8	max number of variants:16
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.11	average number of variants:1.58
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.20	average number of variants:1.65
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.21	average number of variants:1.65
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.25	max number of variants:22
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.35	average number of variants:1.6
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.38	max number of variants:9
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.40	max number of variants:7
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.44	average number of variants:1.68
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.45	max number of variants:7
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.50	average number of variants:1.61
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.51	average number of variants:1.65
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.53	max number of variants:11
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.53	average number of variants:1.73
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.54	average number of variants:1.63
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.58	average number of variants:1.75
DNA-23324-CG001Qv42Run231-5_S5.CG001v4.0.59	average number of variants:1.76
DNA-23324-CG001Qv42Run231-5_S5.CG001v3.4.56	max number of variants:6
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.7	max number of variants:7
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.15	max number of variants:12
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.25	max number of variants:6
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.41	max number of variants:9
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.71	max number of variants:9
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.76	max number of variants:8
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.103	max number of variants:8
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.103	average number of variants:1.59
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.105	average normalized_alignments:1.118
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.105	max number of variants:43
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.105	average number of variants:8.38
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.118	average number of variants:1.6
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.125	average number of variants:1.58
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.130	no normalized_alignment
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.130	no variant
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.11	max number of variants:10
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.11	average number of variants:2.09
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.14	max normalized_alignments:12
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.14	max number of variants:25
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.14	average number of variants:3.21
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.19	average number of variants:1.67
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.21	average number of variants:1.55
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.34	average number of variants:1.81
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.51	max number of variants:6
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.51	average number of variants:1.66
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.53	average number of variants:1.62
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.54	average number of variants:1.57
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.56	average number of variants:1.6
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.57	average number of variants:2.63
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.60	max normalized_alignments:14
DNA-23325-CG001Qv42Run231-6_S6.CG001v4.0.60	average number of variants:2.03
DNA-23325-CG001Qv42Run231-6_S6.CG001v3.4.56	max number of variants:6
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.27	max number of variants:6
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.89	max number of variants:6
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.94	average number of variants:1.69
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.96	max number of variants:6
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.103	max number of variants:6
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.105	max normalized_alignments:26
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.105	max number of variants:48
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.105	average number of variants:6.05
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.110	max number of variants:7
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.125	max number of variants:7
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.125	average number of variants:1.67
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.130	no normalized_alignment
DNA-23326-CG001Qv42Run231-7_S7.CG001v3.4.130	no variant
DNA-23326-CG001Qv42Run231-7_S7.CG001v4.0.8	max number of variants:10
DNA-23326-CG001Qv42Run231-7_S7.CG001v4.0.11	max number of variants:6
DNA-23326-CG001Qv42Run231-7_S7.CG001v4.0.38	max number of variants:7
DNA-23326-CG001Qv42Run231-7_S7.CG001v4.0.40	max number of variants:7
