DNA-24883-CG001Qv42Run245-6_S6.CG001v3.4.94	average number of variants:1.72
DNA-24883-CG001Qv42Run245-6_S6.CG001v3.4.105	max normalized_alignments:16
DNA-24883-CG001Qv42Run245-6_S6.CG001v3.4.105	average normalized_alignments:1.145
DNA-24883-CG001Qv42Run245-6_S6.CG001v3.4.105	max number of variants:42
DNA-24883-CG001Qv42Run245-6_S6.CG001v3.4.105	average number of variants:8.31
DNA-24883-CG001Qv42Run245-6_S6.CG001v3.4.130	no normalized_alignment
DNA-24883-CG001Qv42Run245-6_S6.CG001v3.4.130	no variant
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.11	average number of variants:1.57
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.21	average number of variants:1.67
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.30	max number of variants:6
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.40	max number of variants:7
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.44	average number of variants:1.7
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.45	max number of variants:7
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.50	average number of variants:1.75
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.51	average number of variants:1.6
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.53	average number of variants:2.36
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.57	average number of variants:1.6
DNA-24883-CG001Qv42Run245-6_S6.CG001v4.0.59	average number of variants:1.75
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.22	average number of variants:1.57
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.81	average normalized_alignments:1.101
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.81	max number of variants:7
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.81	average number of variants:1.7
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.96	max number of variants:6
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.105	max number of variants:42
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.105	average number of variants:3.95
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.125	average number of variants:1.73
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.130	no normalized_alignment
DNA-24884-CG001Qv42Run245-5_S5.CG001v3.4.130	no variant
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.11	average number of variants:1.58
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.19	average number of variants:1.54
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.20	average number of variants:1.59
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.34	average number of variants:1.65
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.35	average number of variants:1.59
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.40	max number of variants:6
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.45	max number of variants:8
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.50	average number of variants:1.66
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.51	average number of variants:1.6
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.53	average number of variants:1.63
DNA-24884-CG001Qv42Run245-5_S5.CG001v4.0.55	max number of variants:6
DNA-24885-CG001Qv42Run245-7_S7.CG001v3.4.22	average number of variants:1.61
DNA-24885-CG001Qv42Run245-7_S7.CG001v3.4.105	max normalized_alignments:36
DNA-24885-CG001Qv42Run245-7_S7.CG001v3.4.105	max number of variants:42
DNA-24885-CG001Qv42Run245-7_S7.CG001v3.4.105	average number of variants:4.6
DNA-24885-CG001Qv42Run245-7_S7.CG001v3.4.130	max normalized_alignments:21
DNA-24885-CG001Qv42Run245-7_S7.CG001v3.4.130	average normalized_alignments:11.944
DNA-24885-CG001Qv42Run245-7_S7.CG001v3.4.130	max number of variants:19
DNA-24885-CG001Qv42Run245-7_S7.CG001v3.4.130	average number of variants:14.49
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.7	max number of variants:6
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.11	average number of variants:1.57
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.21	average number of variants:1.61
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.34	average number of variants:1.51
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.35	average number of variants:1.66
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.40	max number of variants:6
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.51	average number of variants:1.65
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.53	average number of variants:1.76
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.54	average number of variants:1.62
DNA-24885-CG001Qv42Run245-7_S7.CG001v4.0.56	average number of variants:1.52
DNA-24886-CG001Qv42Run245-8_S8.CG001v3.4.22	average number of variants:1.57
DNA-24886-CG001Qv42Run245-8_S8.CG001v3.4.31	max number of variants:6
DNA-24886-CG001Qv42Run245-8_S8.CG001v3.4.94	average number of variants:1.71
