DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.4	max/average number of variants:6 1.22
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.9	max/average number of variants:17 1.3
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.18	max/average number of variants:6 1.21
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.20	max/average number of variants:6 1.23
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.28	aligned_clusters:845 nb/max/average normalized_alignments:863 20 1.021
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.28	max/average number of variants:26 2.57
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.41	max/average number of variants:6 1.24
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.43	max/average number of variants:8 1.47
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.65	max/average number of variants:6 1.21
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.89	max/average number of variants:7 1.28
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.96	max/average number of variants:11 1.37
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.98	max/average number of variants:6 1.16
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.105	aligned_clusters:813 nb/max/average normalized_alignments:1088 40 1.338
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.105	max/average number of variants:42 16.9
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.125	max/average number of variants:9 1.5
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.130	no normalized_alignment
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.130	no variant
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.8	max/average number of variants:7 1.31
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.11	max/average number of variants:8 1.66
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.19	max/average number of variants:8 1.33
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.35	max/average number of variants:6 1.24
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.40	max/average number of variants:6 1.25
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.42	max/average number of variants:6 1.2
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.51	max/average number of variants:4 1.52
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.52	max/average number of variants:6 1.19
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.56	max/average number of variants:6 1.58
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.62	max/average number of variants:8 1.38
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.5	max/average number of variants:6 1.23
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.9	max/average number of variants:9 1.3
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.28	max/average number of variants:6 1.25
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.42	max/average number of variants:7 1.21
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.43	max/average number of variants:8 1.41
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.65	max/average number of variants:7 1.23
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.76	max/average number of variants:6 1.25
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.81	max/average number of variants:6 1.44
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.94	max/average number of variants:4 1.53
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.103	max/average number of variants:8 1.5
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.105	aligned_clusters:642 nb/max/average normalized_alignments:786 26 1.224
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.105	max/average number of variants:40 12.18
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.130	no normalized_alignment
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.130	no variant
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.6	max/average number of variants:11 1.2
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.11	max/average number of variants:6 1.74
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.23	max/average number of variants:6 1.26
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.29	max/average number of variants:8 1.23
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.30	max/average number of variants:6 1.39
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.34	max/average number of variants:6 1.55
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.37	max/average number of variants:7 1.19
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.38	aligned_clusters:584 nb/max/average normalized_alignments:601 15 1.029
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.38	max/average number of variants:22 2.66
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.40	max/average number of variants:6 1.26
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.45	max/average number of variants:9 1.26
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.48	max/average number of variants:6 1.21
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.51	max/average number of variants:3 1.61
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.53	max/average number of variants:9 1.53
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.57	max/average number of variants:4 1.53
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.58	max/average number of variants:8 1.43
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.56	max/average number of variants:7 1.94
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.3	max/average number of variants:6 1.26
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.5	max/average number of variants:8 1.33
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.7	max/average number of variants:8 1.28
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.13	max/average number of variants:6 1.39
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.24	max/average number of variants:6 1.16
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.41	max/average number of variants:6 1.2
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.70	max/average number of variants:6 1.2
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.89	max/average number of variants:8 1.28
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.102	max/average number of variants:38 2.7
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.103	max/average number of variants:8 1.48
